name,review,reviewer_stats,ratings_given,review_like,language,neg,neu,pos,compound,sentiment
"Lena , süße Maus, Esq.","get cross mentally ill loner state nature abandons treats like trash? i’ll tell get. get condition called Warre; warre, every man, every man.","223 reviews
3 followers",None,3 likes,en,0.117,0.749,0.134,-0.2103,negative
max theodore,"read parts class & probably going read rest it. was... interesting? depressing? know; reminds machiavelli parts make sense, also can't imagine looking world way time. less enjoyable machiavelli, though, maybe read prince translation & straight-up seventeenth-century english. (update: beating man's ass classroom rn. professor said ""anyone want stand hobbes part?"" crickets. guy raised hand said ""does know society exists outside western europe-"" professor went ""NO."")","384 reviews
88 followers",None,3 likes,en,0.073,0.754,0.173,0.977,positive
B. P. Rinehart,"[update 10/23/13: re-read thing another class I little appreciation I would well read another 10 years.] Bellum omnium contra omnes Another book philosophy class. I trouble remembering whether book frustrated class more. This ""interesting"" book read. I think people call Plato's fascist thinking text took controversial parts Plato's political philosophy-cranked 11-and made fully sophisticated treatise it. I thought long time Hobbes mad I read I learned politics behind English Civil War (when written) book made sense. I still think extremist makes sense context. The point book convince people, free base, stupid untrustworthy needed ruled social contract saw freedoms rights people strongly put strong central figure small group Hobbs called (specifically far concerned). This way avoid state total chaos Latin phrase top review. He felt population-at-large uncivilized tied individual base desires properly rule needed sovereign complete power entire state task them. Men nature start free easy. Tom says since men desire peace things (the first law nature) willing relinquish right everything ""quod tibi fieri non vis, alteri ne feceris."" I could give endless examples basic point; strong authoritarian government best way protect hold society together. I think good modern example working successfully (or least successful example) People's Republic China. That government fits qualities Hobbs' Leviathan ""t"". It makes sense since proposed similar style Leviathan government years Thomas Hobbs born though I'm aware Hobbs used Confucius reference since near influence came mentor patron played big role lead English Civil War. But I think Communist China's...communist party done good job getting Hobbs' political philosophy mastered thoroughly. I would check book compare books like Plato's Republic Aristotle's well compared interested political philosophy general check book out. I read part","747 reviews
247 followers",Rating 3 out of 5,3 likes,en,0.531,0.361,0.108,-0.8658,negative
Harris,Blah blah blah. Read sick food poisoning thought stupid. Hobbes clever Locke least also maybe little kookier.,"137 reviews
15 followers",None,3 likes,en,0.08,0.89,0.029,-0.9763,negative
Aaron,"Buch 1 hatte den wissenschaftlichen Ansatz, den Mensch präzise zu beschreiben, welcher auch teilweise gelingt. Jedoch ist es philosophisch betrachtet nicht wirklich spannend und interessant (=kontrovers höhö) (2/5). Buch 2 hingegen ist ziemlich cool und beinhaltet ziemlich das wichtigste Kapitel im Werk (Kap. 13) und setzt auch einen gewissen Wendepunkt der Politischen Philosophie. Kontraste zu Aristoteles werden hier ebenfalls gesetzt, auch wenn sie Buch 3 deutlicher werden. Meiner Meinung nach kann man auch mit Buch 2 starten bzw. Kapitel 13 lesen und dann schauen ob man sich für weiteres von Hobbes/Leviathan interessiert (4/5). Buch 3 knüpft den zweiten Teil und stellt viele These auf, die heutzutage ziemlich kontrovers wären, wenn man sie auf offener Straße einfach rausschreien würde. ! Lebt Angst und Schrecken oder ergebt euch vor Olaf Scholz als alleinigen Herrscher über uns. Möge der Leviathan uns richten ! Philosophisch betrachtet ist dies natürlich interessant und die systematische Herangehensweise von Hobbes ist eigentlich nachvollziehbar. Auch Erkenntnisse auf die Hobbes schließt sind alles andere als aus der Luft gegriffen und dämlich. Ziemlich erschreckend. Teilweise wird es mir persönlich zu politisch bei der Erklärung und Bedeutung jeder staatlichen Position und deren Beziehungen (auch wenn es beim ""Bürger"" und Monarchen sinnvoll und noch besten ist) (3,5). Buch 4 habe ich meinem Seminar nicht wirklich behandelt und deshalb nur teilweise gelesen...Es klingt zumindest nicht unspannend, aber Eindrücke und Bewertungen sind nicht vorhanden. Eigentlich nicht wirklich extrem relevant, aber die Frage ob Hobbes nun religiös war oder nicht bleibt unbeantwortet oder zumindest ist dies nicht eindeutig wie bei Descartes oder Locke. Dies finde ich irgendwie ganz spannend und lässt einen grübeln. Insgesamt ein gelungenes Werk, auch wenn es nicht immer interessant bleibt und man dann teilweise doch zu sehr die Hand geführt wird (das ich durch die Nase keine Farben rieche, sondern natürlich essen schmecke, weiß ich Hobbes!!! Danke, dass brauchst du mir nicht erklären). Okay schlechter joke hinter mir zur Aufmunterung, nach dem mich der willkürliche Monarch angegriffen hat. Insgesamt wahrscheinlich eher 3,5 von 5, aber aufgrund der herausstechenden Kapitel, die ich hier relativ hoch bewerte und extrem im Kopf bleiben, verdient es dann doch eher eine 4/5. (Falls ich den Inhalt teilweise ""falsch"" auffasse könnt ihr euch bei meine Prof. bedanken...nein Spaß er ist cool).",2 reviews,Rating 4 out of 5,3 likes,de,0.0,1.0,0.0,0.0,neutral
Pat Schakelvoort,Oxford world classics readable non-native English speaker.,"555 reviews
25 followers",Rating 5 out of 5,3 likes,en,0.0,0.76,0.24,0.9211,positive
Marc,"Especially piece man interesting: first time get systematic dissection human condition, beginning philosophy knowing. In political sense Hobbes clearly absolutist, obviously wrote book Paris time Louis XIV, though end offers light relativisation. The concept 'natural condition man' useful, theoretical build comprehensive view state upon it. Hobbes obviously atheist, brings materialistic view, room miracles god.","2,975 reviews
913 followers",Rating 2 out of 5,3 likes,en,0.203,0.742,0.055,-0.7666,negative
Frank,"It difficult comprehend standing The Leviathan. The book mostly incoherent tiresome screed religion directed demonstrating authoritarian government always right. TH's thesis, put modern terms. enforcer improves utility prisoners' dilemma. Not remarkable insight. You could learn single page Robert Axelrod 600 pages Thomas Hobbes.","690 reviews
37 followers",Rating 1 out of 5,"3 likes
2 comments",en,0.0,1.0,0.0,0.0,neutral
mohab samir,ليست النجوم الأربعة نتيجة لإقتناعى الشخصى بفكر الكاتب فبالتأكيد أنا على خلاف قوى لأفكاره وآرائه وإنما هى لقدرته المنطقية العالية وفلسفته الدقيقة المتعمقة فهو يقودك إلى آرائه النهائية الكبرى بدءاً من الأمور الأولية البسيطة حيث تجد فلسفة هوبز عبارة عن بناء قوى مدعوم بأساسات قوية قد يصعب على الكثير نقضها وإن كانت شاذه وغريبة وإجمالا هو من أقوى كتب الفلسفة السياسية التى وجدتها,"365 reviews
295 followers",Rating 4 out of 5,3 likes,ar,0.0,1.0,0.0,0.0,neutral
Saeed,خیلی قدیمی کتاب، خیلی طولانیه کتاب... توصیه نمیکنم ک بخونیدش,"172 reviews
50 followers",Rating 2 out of 5,"3 likes
4 comments",fa,0.0,0.521,0.479,0.8779,positive
Pinkyivan,"The first half excellent political philosophy. The second kind empiricist protestant theology, interest readers","130 reviews
76 followers",Rating 3 out of 5,3 likes,en,0.016,0.977,0.008,-0.5994,negative
Anderson Paz,"A obra Leviatã de Hobbes foi publicada em 1651 e se tornou um clássico pensamento político. A obra, entretanto, trata mais que sobre teoria Estado. Hobbes se propõe discutir sobre matéria, forma e poder de um Estado tanto civil quanto eclesiástico. O Leviatã de Hobbes quer cajado eclesiástico e cetro príncipe. Leviatã, para Hobbes, é um Estado artificial ou um Homem artificial que funciona para proteger e defender sua própria existência, como também liberdade individual. O livro tem quatro partes: Na primeira, Hobbes trata homem. Hobbes apresenta seu empirismo britânico discutindo sobre como homem forma pensamentos, imaginação, linguagem, racionalidade, paixões, conhecimento. Ele também discute sobre virtudes intelectuais, objetos conhecimento, poder, honra, comportamentos, religião. No fim da primeira parte, Hobbes finalmente apresenta seus conhecidos conceitos de estado da natureza vs. estado de guerra, contrato social, relação entre justiça e leis naturais e papel Estado em garantir liberdade individual naquilo que não proibir. Na segunda parte, Hobbes trata Estado. Ele discute sobre surgimento poder soberano Estado, os direitos Soberano, formas de governo e sucessão, formas de conquista, liberdade negativa, partes Estado, papel dos ministros, domínio soberano sobre terras, relação entre leis naturais e positivas, crime, penas, recompensas, doutrinas que ameaçam Estado, competências poder soberano. Na terceira parte, Hobbes trata Estado Cristão. Aqui Hobbes apresenta uma teologia política em que Estado tem importante papel na interpretação bíblica. Para ele, reino de Deus é reino civil. Ele então trata de anjos, inspiração bíblica, profetas, milagres, igreja, direitos reinado de Deus, papel de Jesus. Hobbes entende que soberano deve governar sobre igreja e Estado e homem deve obedecer soberano para agradar Deus. Por fim, Hobbes trata ""reino das trevas"" em que discute sobre potenciais ameaças religiosas à soberania Estado. Ele trata de erros de interpretação bíblica, demônios e elementos pagãos na prática cristã, vãs tradições e filosofias e faz duras críticas ao papado romano. Esse livro é muito mais que uma teoria política. O empirismo de Hobbes leva defender um Estado autocrata para assegurar tanto estabilidade de um país quanto liberdade individual. E, para Hobbes, isso só era possível submetendo igreja e Estado ao Soberano. Esse é um contrato ""liberal"" um tanto esquisito para quem está século XXI.","Author 
3 books
10 followers",Rating 3 out of 5,2 likes,pt,0.065,0.729,0.206,0.9976,positive
Falk,"Hobbes's concept state sovereignty influential easily called Godfather modern politics. (As could Machiavelli, slight twist meaning term.) This also absolute virtues (being also Hobbesian laws nature) peace life (self-preservation degree totally risk-averse) Hobbesian bourgeoisie predominant Western society today, majority (possibly) Westerners close impossible understand thumos (spiritedness) still prevalence within cultures (and public discourse often described ""barbarian"".) - While Hobbes may scathingly critical contemporary Christian ""loftiness"" (not least regards papacy Catholicism), endeavors restrict philosophical inquiry natural world, sovereign power sets forth nevertheless biblically based (in regard Hobbes referring strictly kingship). It certainly discussed whether aim somehow reconcile science religion, simply adapt latter former avoiding accusations heresy atheism. - Though however materialist Hobbes's scriptural interpretation may be, four parts book divided into, third, ""Christian Commonwealth"" far longest them, though also rails ideas like ""incorporeal substance"" ""immortality soul"", includes highly original version Trinity - intriguingly heterodox blend words. - But perhaps accurate say view religion (in statecraft) , meaning religion realm life sovereign deal decisively. This means sovereign (and certainly anyone clergy) must authoritative head church.(See also Hobbes's mature view issues.) His formulation fundamental law nature: (XIV) described well ""general rule reason."" (Hobbes discusses reason length chapter V, defining ""nothing reckoning (that is, adding subtracting) consequences general names agreed upon"" ... ""not reason always right reason, well arithmetic certain infallible art.."") Hobbes's fundamental law nature leads second law nature: (XIV)- Hobbes's justification war self-preservation (preservation state vis à vis states) based contract (covenant) sovereign individual citizens entered, wherein obedience (on part citizen) willingly bartered peace safety, sovereign upholder guarantor. And Hobbesian citizens willingly obey alternative natural state (in must Hobbes' famous statement) (XIII) Leviathan (king proud) fix that, more: natural fix; men decide sovereign willingly obey also (Hobbesian) natural law; Hobbes sees natural law calls ""dictates reason"" thing. Hobbes realist; natural goodness man, firstly state nature doesn’t allow that, also definitions ""good"" ""bad"" vary individual basis, according likes dislikes,and prerogative duty sovereign define ""good"" ""bad"", problem different opinions solved transferring power area sovereign. Hobbes sees every citizen nevertheless keep opinions, keeping ""in heart"", outwardly obeying dictates sovereign, (natural) anarchy opinion restricted regulated contract entered into. While Hobbes clearly royalist leanings, definition sovereign includes possibility republican sovereign council, identical powers individual sovereign, although also sees diversity opinion necessarily found council likely deficiency connection absolute sovereignty Hobbes envisions. In , Hobbes rails snidely refers ""mixarchy."" ( Dialogue III) Parts would exploited monarchists republicans Civil War period, though whole, Hobbes work really align causes. , whichever way look it, masterpiece political philosophy, also one still holds relevance. For example, relationship church state still hot topic even today. Hobbes certainly advocate separation church state, rather subordination church state. Add fact Hobbes major contributor western political thought. This work fascinating read; clarity Hobbes sets ideas, along masterful rhetoric, also makes pure joy read - whether agree not. This work licensed .","79 reviews
58 followers",Rating 4 out of 5,2 likes,en,0.229,0.559,0.211,-0.6402,negative
Jesse,"Only read first (political) half, second (religious) half. A significantly conservative text I expected, tradition ""social contract"" theory inaugurated went liberal direction. Despite arguing monarchies parliamentary forms government must obeyed, clearly monarchist heart. His argument essentially that, fear Civil War, like English Civil War midst of, mankind's duty create Sovereign (monarch parliament) cannot justly resisted. Not exactly ""might makes right"", like ""it right make might"". In case pessimism clear, argues two people cannot make Contract Trust, Fear. An almost reasonable argument - argues contracts one party expect gain breaking invalid. If one man fear other, way contracts, according Hobbes, Person fear enforce contract... Surely possible imagine ways people sincere reasonable trust one another besides fear power! Or imagine world Absolute Security Contracts necessary demand Absolute Authority enforce them!","44 reviews
13 followers",Rating 3 out of 5,2 likes,en,0.0,1.0,0.0,0.0,neutral
F.,"Hobbes, matematik nasıl tanımlarla inşa ediliyor bunun üstüne kurulup doğruluğunu buna dayandırıyorsa herhangi bir kitabın da doğruluğa ulaşması için tanımlarla başlaması gerektiğini söylüyor tanımlarına başlıyor. Rönesans ile Aydınlanma Çağı arasındaki döneme yaşamı denk gelen Hobbes, ilk kez 1651’de yayınlanan eserinde bireysellikten klasik ulus-devlet anlayışına dönerken bunun güvencesi olarak da güvenlik ihtiyacının garantisini ortaya koymakta, bunu yaparken de yönetim olgusunu laikleştirmektedir. Ayrıca, devlet kendisi için değil, yarar fonksiyonu için vardır. “Hak, hakkaniyet, hukuk adaletin nedenleri kökendeki yapısını bilmemek, insanı gelenek emsali, hareketlerinde kural kabul etmeye yöneltir.” der, geniş perspektifte bakıldığında dünyadaki birçok topluluktaki uygulamalar, ülkemizdekiler de dahil, bunu doğrulamaktadır. Egemen gücün kimde olacağı sorusuna ise egemen güç ya bir kişide ya birden fazla kişide ya da herkesten birde olmak zorundadır diyerek monarşi, oligarşi demokrasiye el sallar. Hristiyan Bir Devlet Üzerine kısmından itibaren İncil, Tevrat Zebur’dan alıntılar ile iktidarın gücünün kaynağını dayanaklarını irdeliyor. Son bölüm olan Karanlığın Krallığı Üzerinde ise çoğunlukla bahsi geçen kitaplarda olmayıp, yani dini özü bulunmayıp, da yine de yapılan keyfi uygulamaları kaynaklarıyla eleştiriyor bu yapılan işlemlerin hep iktidarı güvence altına almak amacıyla gerçekleştirildiğini ekliyor. Son iki bölümün okuması, ilgili kitaplar hakkında bilgim fikrim olmadığı için çok zordu.","451 reviews
29 followers",Rating 3 out of 5,2 likes,tr,0.0,1.0,0.0,0.0,neutral
Kadir,"527 sayfa -zorla yaptırılmış sözleşmeleri kabul ediyor (çünkü tanrının bizle yaptığı sözleşmeyi aklamalı [ki asıl tanrısı devlet]) -pagan tanrılarının devlet otoritesi için yaratıldığını kabul ederken yehowa hakkındaki görüşü ikiyüzlü -toplum sözleşmesine bakış açısı yanlış (özellikle antropolojik açıdan) -aristoyu anlamamış (özellikle politaka kitabını) pozitif -ilginç bir cehennem yorumu incil fıkhı -empirism idea yorumları -plato cumhuriyet inde itiraz eden dayıya benzer adalet yorumu Leviathan deadradır tanrıyı yaratmıştır. Hobbes hepimiz onun kullarıyız. çok yaşa Akp, çok yaşa RTE (!) Edit : Çevirmene beş yıldız",16 reviews,Rating 4 out of 5,2 likes,tr,0.0,1.0,0.0,0.0,neutral
Danica Čović,I ove tri zvezdice su velikodušne,"10 reviews
2 followers",Rating 3 out of 5,2 likes,hr,0.0,1.0,0.0,0.0,neutral
Ronan,Finally finished.,"45 reviews
5 followers",None,2 likes,en,0.058,0.667,0.276,0.7096,positive
Natasha Hurwitch,"At first, I like this. I practically falling asleep reading. But end, I got it, even enjoyed chapters.",67 reviews,Rating 3 out of 5,2 likes,en,0.173,0.634,0.193,0.9552,positive
Charlie,"Carl Schmitt, disciple Thomas Hobbes, famously declared political theorists divided think man naturally good, think naturally evil. I sometimes think another binary would apt - one classed thinkers hope fear. Few sane men ever looked around time thought, 'Yeah, fine.' Misery bites human heel every step. Once upon time teeth buried deep bones seemed like world would never change, thing hope better life next (presumably better) one. Gradually, human leviathan stepped forwards, mad dog still biting ankles keep moving, feverish vision transitioned hope better future world instead. This transition often referred 'The Enlightenment', though that's loaded term one ever agree really meant, happened, stood for. The important thing world never Black Death, Protestantism, Chinese invented gunpowder printing press, maybe first Peasant's Revolt made underclasses wonder kings kept killing making peaceful protests. Regardless, nebulously defined window 14th 17th centuries something wild happened European culture. Long Industrial Revolution turned Britain economic powerhouse, transformation bubbling beneath skin. Well, lot transformations actually. Religious heresies, economic restructurings, development scientific methodologies 'discovery' whole new worlds fundamentally Christian/Islamic hegemonies late Medieval worldview. This Early Modern World. To survey events, characters, art, philosophies draw kind teleology - certain kind Left-Winger - one greatest pleasures history, history viewed one eye only. Men women living time see rise democracy, development capitalism, wonderful powers science industry. They saw little religious consensus ancestors lived cracking neighbours took heresies like infectious, rotting mutation. They saw invincible powers kings queens crumble fall, heard sordid details new kinds theatrical dramatisations printed news-ballads. They saw physicians grabbing bodies dead desecrate them, appealed magic escape misery, burned alive witches. This terrible world. Well, worlds terrible. Suffering pervasive, point perspective. A certain kind thinker (let's call 'Whig') look horror period think ""Dear god, awful. We try change things improve situation,"" they'll consider changes recent past evidence successfully approach work. These people thank universal literacy, vote, NHS, invention fire, also Great Leap Forward, The Holocaust, millionaire celebrities singing 'Imagine' paupers. Some men's hopes deserve come true. The kind thinker looks misery, thinks themselves, ""Holy Christ, awful... could lot worse."" They look past, listen cacophonous howl history, ponder blood-drenched labour required get culture current point, evidence change , or, least needs handled slowly, lest delicate edifice laughably called 'civilization' come like house matches. We men women thank absolutely nothing. Their achievements non-existent, stop clock ticking, feel proud fear sit comfortably atop rotting edifice time. The Early Modern world one continual, evolving, multi-headed crises. The old ideologies failing. Elites needed adapt survive. The poor hungry, sure, middle classes worry about. They ones could afford files sharpen teeth. As kingdoms rocked national uprisings, civil wars, sectarian violence good old fashioned economic squalls, governments needed find new way legitimising rule. There many fine heroic thinkers emerge time, least John Milton, looked ancient Biblical Roman history, fused found contemporary ideas power, faith, knowledge. These characters drew Social Contract theories built Republican notions liberty tyrannicide - along whole host religious financial considerations boring describe - resulted British (or, accurately, British gentry) waging two separate civil wars cutting king's head. It's remarkable British nationalists embarrassed celebrate genuinely magnificent moment history... Regardless, heroism one-sided. This miserable period live (though, rigorous pessimist, I must also reiterate periods terrible live through, though definitely terrible others). Brother brother. Father son. Cromwell genocidal prick. You know clichés. And so, stepping storm like angry prophet, long lock's dripping gore close friends, sharp eye full scorn, high brow full dark rage, come Thomas Hobbes. Thomas Hobbes giant. He titan political science. Indeed, probably first person ever political scientist, imagining kind Newton discovering mathematical laws power rhetoric imitative Euclidean logic. Where power could understood practice rhetoric process artistic mastery subject referred ""Maker's knowledge"", Hobbes tried master political theory abstracting everything human it. Starting famous declaration life mere ""motion limbs"" suggests senses ""pressed"" upon external world, even microscopic level world constant struggle bustling atoms violently exerting power neighbours. When even tenderest touch, loving glance, cast terms, surprise worldview grows one perpetual war, man man, inevitably striving struggling, suffering, afraid? But summaries man justice. His wit solid iron. A true genius, yes. A rhetorician stunning ingenuity literary power, yes. But know what? Thomas Hobbes also greatest scaredy-cat ever lived. He saw maelstrom never wanted world endure anything like again. So terrified chaos willing sell everyone's freedom single monarch would keep things civil, literally wrote book autocracy. 'Nasty, brutish, short' - yeah, yeah, everyone knows Hobbes' pessimism. Everyone knows authoritarian too. It's fashionable call father Totalitarianism - well, considering Schmitt's admiration man - probably true, also accurate consider father Liberalism, perhaps John Locke. At least he's . After all, despite charlatans keen claim, Capitalists repeatedly shown perfectly happy dictators long keep plebs order. At heart, that's Hobbes' monarch really is. A consciously false symbol arbitrarily imposed population keep line rich boys slurp spoils. Yet what's curious Hobbes first theorist Powerful I've read seems genuinely wanting make world better. Power always legion sycophants call on, either rebut criticism abroad salve consciences face blatant facts. Apologists come many forms. Some fools repeating people's words, , whilst others . One never feels need take motives seriously either care want make quick buck establishment, else expect privileged system they're advocating, defences make hierarchy produced bad faith anyway. These men care society outside they'll say whatever takes feel slug-trail stroke power patting back necks. Hobbes... much. This man managed piss . Let's get way. Hobbes modern thinker. Not even Early Modern. . His style thinking accessible us today peers, nothing else shows clearly onto something, even nothing pleasant. His materialism would make Nietzsche blush. His relentless amoralism would make Machiavelli cough fidget stateroom. And atheism... Well, that's question, it? Does Hobbes believe God? The entire second half book rather tedious - though definitely heterodox - slog dutiful biblical commentary, quoting chapter verse prove religion cannot justify sedition, there's something abundance words feels like Hobbes protesting smugly. After much sacrilege cynicism start, staples extra book's worth chapters saying 'Look, I've close-read Bible too!' even grumbles silly university traditions, unjustifiable faith prophets, much absolutely Catholic church ideological stranglehold not-yet-secular states. Then again, makes sense Hobbes try develop religious orthodoxy best serve state interests, whether believes God, course he'd try dictate everyone else taught believe - believe public... Which brings us main point. Hobbes materialist steroids. He refuses even imagine spirits ghosts unless physical dimensions, merely point principle everything fit overarching metaphor 'geometry'. Everything must fit scheme he'll damned even imaginary spirits believe get wriggle frameworks. This emerges work stubborn refusal treat people's rhetoric seriously. When Hobbes talks 'liberty', talk freedom thought - indeed, actually give damn people privately believe long behave public - literally means physical ability move. To Hobbes, 'liberty' river flowing banks stone falling ground unsupported human walking along street job thing, consciously refuses acknowledge anyone abstracts word anything meaningful. If literally chains, free. Now shut get work. Like I said: Father Liberalism. And Hobbes attacks rhetoric obscuring rationality. He attacks study classics filling people's heads silly notions 'liberty' 'tyrannicide' (indeed, seems blame Civil War people read much Epic Poetry... considering frequently English revolutionaries used reference ), though nice ban them, instead asking come footnotes explaining cool ancient heroes actually bad men. Private conscience done away - social contract made, decisions reside Sovereign, preferably single person, disagree law that's tough since ""the law public conscience [you] hath already undertaken guided."" After all, people start thinking themselves, means they're obeying sovereign agree him, different ruled all. Oh god, anarchy! Stop, stop! It's Civil War again! This Hobbes silly, yet also important. Power subject. Power fears, desires understand, so, paradoxically, becomes worships. He could still hear cannons firing wrote words - Paris, yes, justified revolutions tendency spread - desperate urgency every step argument. Every barked command, every ornate metaphor, every bitter condemnation free-thinking radicalism sedition scribbled hand still trembling artillery landing closer closer window. Christ man afraid, I think wrong read awareness traumatic civil war was. There must days seemed like strife would never end, constant bloodshed would world would ever know. In climate, course Hobbes would identify thought experiment men giving freedoms end metaphorical war all-against-all - anything, anything, stop screaming, It desperation leads Hobbes' interesting argument, one I've seen people pay much attention to, despite key appeal. Hobbes' materialism encompassing - time ideals, barely time justice, peace. In light, thinkers powerful desperately try prove such-and-such ruler just, divinely appointed, Hobbes care. His social contract little arbitrary social arrangement put place stop us killing other. At one point even compares ""the laws Commonwealth"" ""the laws gaming: whatsoever gamesters agree injustice none them."" But know, game built arbitrary rules agree follow give structure entertainment. Hobbes takes logic applies . To him, survival rests arbitrary set social arrangements stick even protesting might bring us back chaos again, even harshest autocracy (to mind) better that. Stop complaining, still hear cannons. It one classic, compelling arguments, radicalism society instituted violence fundamentally illegitimate. If bunch Norman nobles came England, massacred English divided property amongst themselves, can't people later massacre descendants inherited ancient blood-money take back? 'Might right' goes ways. Hobbes stares argument head even blink. It matter got here. Keep head down, play game, know place. It could always get worse. Now despite everything, I want harsh Hobbes. This book brutal masterpiece, I space go read, even Hobbes obviously wrong. His arguments ingenious, perspective disarmingly modern forward-looking, rhetoric . Only Milton comes close power, Milton never passage took piss clergy proving they're like international fairy kingdom kidnapping intelligent children replace highly educated parasitical dullards. Yeah, Hobbes funny. I'm surprised are. I went book expecting hate man. His reputation fierce. His influence vast. Everything stands everything I despise. And yet... even pen bleeds truly evil shit onto page (see callous attitude witch burnings want feel blood run cold), I cannot help pitying man. Watch cower corner, flinching every time grapeshot cracks. Watch return revolutionary government hates simply they'll let publish philosophy masters refuse accept, fervently believe importance! What mind! What talent! You stayed away translating Thucydides, poor soul. If reading classics blame choices century, ancient chronicler robbed us wonderful man. And must settle merely great one instead.","39 reviews
34 followers",Rating 5 out of 5,1 like,en,0.111,0.687,0.203,0.9981,positive
Rachel,"I closed book overwhelming feeling finally. It took six weeks beating ten pages day brain get there, felt like much longer. I definitely miss self-induced philosophy reading really answer anyone it. I might skim check less I write essay afterwards, I'll never really know much I've skimmed there's hope I'll revisit book. The closest I come reflecting (ugh, I despise term) I've read writing review. So goes. I spend first fifty pages wondering dry disquisition grammar rankled many religiosos ... AND THEN! BOOM! It makes sense me; Hobbes twist knots like, say, Spinoza, introduce Godly first cause clearly believe in. I tried raise ghost startling controversial points must 1600s, things beyond even imagination. ""If superstitious fear spirits taken away, it, prognostics dreams, false prophecies, many things depending thereon, which, crafty ambitious persons abuse simple people, men would much fitted civil obedience."" Unfortunately hypothesis, late twentieth/early twenty-first century proves case. ""But sense, one thing perceived, sometimes one thing, sometimes another succeedeth, comes pass time, imagining thing, certainty shall imagine next; certain, shall something succeeded before, one time another."" Thinking like sometimes. ""For though nature conceive, same; yet diversity reception it, respect different constitutions body, prejudices opinion, gives every thing tincture different passions."" The mission statement constructivism? ""And therefore names [of virtues vices] never true grounds ratiocination. No metaphors, tropes speech; less dangerous, profess inconstancy; not."" Reminds scene 'Inside Out' train crash mixes 'facts' 'opinions' boxes characters like 'it matter, happens time'. ""As, much experience, ; so, much science, . For though usually one name wisdom both; yet Latins always distinguish ; ascribing former experience, latter science."" Words matter! ""So evident, whatsoever believe, upon reason, drawn authority men only, writings; whether sent God not, faith men only."" p44 OOF is. ""For let man (as men do,) rate highest value can; yet true value esteemed others."" That's RAW, Tom. ""Ignorance causes, original constitution right, equity, law, justice, disposeth man make custom example rule actions; manner, think unjust hath custom punish; just, impunity approbation thereof produce example, (as lawyers use false measure justice barbarously call it) precedent;"" Haaaaaa. Also oof. ""And followeth another law, For otherwise distribution unequal, contrary equity."" Early Marxist? Regarding governments: ""[...] part versed acquisition wealth knowledge; give advice long discourses, may, commonly excite men action, govern it."" ""Thirdly, resolutions monarch, subject inconstancy, human nature; assemblies, besides nature, ariseth inconstancy number. For absence few, would resolution taken, continue firm, (which may happen security, negligence, private impediments,) diligent appearance contrary opinion, undoes to-day, concluded yesterday."" Oh look, committee! ""When commanded, words, gesture, obedience worship. But free, worship consists opinion beholders; words, actions intend honour, seem ridiculous, tending contumely; worship; signs honour; sign sign giveth it, made; is, spectator."" This hot take. ""For mysteries religion, wholesome pills sick; swalloewd whole, virtue cure; chewed, part cast without effect."" This sickest burn religion ... wonder wanted burn . ""In like manner, man metamorphosed stone, pillar, miracle; strange; piece wood changed; see often, miracle; yet know more, operation God, one brought pass, other."" I love I read something carved 'Terry Pratchett Woz Ere."" ""Therefore ministers Christ [...] sovereign civil power [...] may indeed lawfully punish contradiction laws whatsoever: St Paul, preachers gospel, saith express words (2 Cor 1. 24), "" Saith Church time: played ourselves. ""[...] spoken whose masters infidels; yet bidden obey ."" The Bible says! ""If [the Saviour] meant interpret them, would bidden take thence proof Christ: would either interpreted himself, referred interpretation priests."" Mic drop. ""[...] received, shake dust feet them; call fire heaven destroy them, compel obedience sword."" What got behind back? Nothing. It's crusade, it? It's one! Put back! Oh, fine ... want put Inquisition back too, surely? ... ""The Kingdom God yet come, new world; could authority compel Church, till commonwealth embraced Christian faith; consequently diversity authority, though diversity employments."" You heard first! (Literally, seems.) ""[...] St Paul bid kill disobeys; beat, imprison, amerce him, legislators may do; avoid company, may ashamed: whereby evident, empire apostle, reputation amongst faithful, Christians stood awe of."" Again people back. ""Now I shown, obedience required salvation, consisteth obey law God, say, repentance; faith required same, comprehended belief article, ; I allege places Gospel, prove, necessary salvation contained joined together."" What got ? It's megachurch depositing millions personal bank account - that's allowed, it? BACK! PUT IT BACK! ""And come give account incorporeal substance capable pain, tormented fire hell purgatory, nothing answer, cannot known fire burn souls."" HA. ""For king priest, cannot marry, transmit kingdom posterity; priest, Pope pretendeth authority ecclesiastical him, people."" That's pragmatic point, fairness. ""[...] set men's eyes mutual relation protection obedience; condition human nature, laws divine, (both natural positive) require inviolable observation.""","1,247 reviews
87 followers",Rating 3 out of 5,1 like,en,0.116,0.679,0.204,0.9777,positive
