,username,reviews
10,Martin L. King,"

  There has always been a disconnect between The Prince and the Discourses, as well was with Machiavelli's life in Florence.  Bobbitt ties it all together as a coherent and rational world-view.

"
11,Joseph H. Carter Sr.,"

  Brilliant observation that Donald Trump should read.  Provided, of course, if Donald Trump knows how to read.

"
12,Valerie Rauluk,"

  In particular, the real focus of the end justifies the means (it is the public good,duh!) eloquently presented.  This is more approachable than other Bobbitt books, but the shield and terror and consent are real gems as well

"
13,David Wineberg,"

  The Garments of Court and Palace poses an interesting challenge for me. It is essentially a review of Machiavelli's The Prince.  A 288 page book review. How much more can one say? How does a reviewer review a review? Worse (or better yet), Bobbitt  does in his review what readers of my reviews come to expect of me: a completely different take, with aspects and interpretations no other reviewer has caught, and which sometimes the author has missed, being mired in the trees of the forest.The discovery here would never have occurred to me. It is that The Prince is actually a study in the evolution of constitutional government, and not a recipe for oppression and subjugation of a people. Only someone steeped in constitutional law and philosophy would interpret it that way, but Bobbitt makes an absolutely commanding case for it. In fact, by massaging Machiavelli into this thesis, Bobbitt solves a number of contradictions and conundrums that reviews have used to criticize Machiavelli and diminish his accomplishment with his book, which by the way, he never called The Prince.In places, it is positively Talmudic in its incorporation of outside voices and critics. Commentators through the ages are shredded or vetted. He backs his premise thoroughly and completely, enlisting Machiavelli's words despite centuries of them being interpreted in a completely different direction. It is fascinating.Millions of us (had to) read The Prince in high school. Our teachers drummed into us exactly what it was about, and all our appreciation of it was framed in that context. But it's wrong. And that makes this book compelling, valuable, and important.I'm delighted to have come across it.David Wineberg

"
14,Yehezkel Dror,"

  This book is an original contribution to understanding of Machiavelli. Bobbitt views Machiavelli as an innovative thinker on constitutions who wrote a book on the state which includes both The Prince and Discourses on Levy. It as a whole laid the foundations for a neoclassical state system in the making while supporting republican regimes.Bobbitt provides other important understandings, such as on Machiavelli¡¯s morality of ¡°necessity¡± and consequentialism, and the ethical duty of rulers to follow different moral reasoning in their acts as an agency of the public and in their personal life. This explanation puts to shame common options on the immorality of The Prince based on wrong reading and inadequate understanding of the project of Machiavelli as a whole.Leaving aside many other important points, let me focus on the central idea of Machiavelli as emphasized in this book: Virt¨' (in the sense of Machiavelli as explained on page 77, but unacceptable is the English term ¡°manly virtuosity¡± suggested by Bobbitt), requires from both rulers and political entities to adjust to changing conditions, otherwise failure is assured. Political leaders are bound by their personality and experience and therefore fail to do so. But a well-structured political entity changes rulers so as to make them fit novel conditions, this being a great advantage of ¡°republics.¡±This important evolutionary perspective also applies, most importantly so, to constitutions and state systems. These too have to adjust to novel situations, otherwise decline and failure are assured with harsh consequences. Therefore Machiavelli  emphasized the importance of foundational rulers, while Bobbitt emphasized the importance of Machiavelli as recognizing the obsolescence of the prevailing state system and proposing an appropriate new model.Never mind that Bobbitt seems to share the overly optimistic views of Machiavelli on the virt¨± of ¡°republics,¡± based on misreading of much of Roman history in the Discourses. The idea of transforming state systems so as to prevent failure when situations change, as proposed by Machiavelli and well discussed by Bobbitt, is of profound importance. But it leads to a harsh conclusion, namely the impermanence of contemporary widely accepted state system and their grounding basic norms.It is here that Bobbitt makes what I regard a serious error. In the Epilogue he presents the ¡°market state¡± as a fitting adjustment of the state system to emerging conditions, such as globalization, mass media, and so on ¨C an idea fully developed in other books by him. But, granting the advantages of market states (which is not obvious at all), the author  ignores the inadequacy of market states too for coping with the fateful challenges posed to humanity by the potentials of self-destruction and ruinous ¡°enhancement¡± provided by science and technology.Following the striking insights of Machiavelli as well presented by Bobbitt, the very nature of states and regimes will have to change radically in order to avoid catastrophes and facilitate human thriving. Thus, a authoritative global regime strictly regulating the development and diffusion of dangerous knowledge and devices and the uses of ¡°human enhancements¡± may become essential for the survival of the human species and its pluralistic flourishing.Such thoughts stimulated by this book make it into compelling reading, highly recommended for all concerned about the future of democracy, of the present state system, and of humanity as a whole. But the Epilogue needs more than a grain of salt. Professor Yehezkel DrorThe Hebrew University of Jerusalem.

"
15,Gderf,"

  The strange title must be a reminder that Italian princely states of Machiavelli's era were not the same as modern nation states. Nevertheless Bobbit examines applicability of Machiavelli's ideas to modern politics as reality based rather than the common wishful thinking of liberal politicians. Primarily Machiavelli distinguishes political reality from liberal ethics. Other writers call it doing bad by doing good, something Machiavelli counsels to avoid.Bobbitt claims Machiavelli was a republican at heart. Most of his diplomatic career was with the Florentine republic between its two Medici episodes. One must read 'Discourses' with 'Prince' as one working philosophy. He broke off 'Discourses' to examine the princely state after the return of the Medici to Florence. It was not originally titled 'The Prince' a somewhat misleading title as is that of this book.Bobbitt calls him the most important political theorist since Thucydides. Far from his amoral reputation he simply separated politics from ethics. His recommended reality based politics avoids wishful thinking and hypocrisy, so common in modern politics. Another lesson for the present is that a nation is not a state. Examples include Kurds, Basques, Palestinians, Tamils and Cherokees. An adversary of the Renaissance Church, Machiavelli, 300 years before Marx, recognized the use of religion to manipulate minds.A most Interesting part of the book studies Alexander and Cesare's attempt at uniting the vicarage states of the Romagna with the republic of Florence as a device to eliminate French and Spanish influence from central Italy. Eventually control was to be relinquished to a republican government. Had he succeeded, I doubt whether Cesare Borgia would have subscribed to that idea. Reasons for Machiavelli's admiration of Cesare with attendant contempt for Julius II is unclear but very interesting. Julius carried on Cesare's aim of uniting the Romagna. The idea that Cesare held a strong hand at the death of his father might be overstated by Bobbitt. Machiavelli excusing Cesare's failure as due to adverse fortune seems a departure from reality politics. His purported solution to the paradox of fortune appears to be just a historical study, albeit a very interesting one.It's a bit of double think for the modern ethical reader to see that Machiavelli's ruthless realism was, and still is, for the good of the state. It's a refreshing deviation from the current mindless altruism in politics that does so much harm by trying to do good.

"
16,Joseph Devita,"

  This small book attempts to reassess Machivavelli, a person who has come to be identified with amorality, especially in politics, by proffering a new interpretation of his thoughts based on his life and all his writings. I am not sure it really succeeds.The basis of the argument is that in just considering The Prince, Machiavelli's most famous and infamous work, most people have gotten a skewed and incomplete picture of his political philosophy. In considering that work as just a part of the whole which also includes Machiavelli's other major book, Discourses on the First Ten Books of Livy, the author believes that what is really being offered is a brilliant new constitutional structure, the princely state, which is the direct antecedent of the modern nation state.The importance of this idea is that in formulating a new political structure, one necessitated by the military conflicts of 16th century Italy, Machiavelli is creating a sovereign entity that has needs that supersede those if its ruler[s] and hence the Prince has a moral obligation to attend to those requirements even at the risk of violating his personal moral and ethics. At the same time he is circumscribed in his actions by what is necessary for the good of the state.Having read only The Prince, I cannot address the question of whether or not by linking it so integrally with the Discourses it's interpretation is substantially changed, but for arguments sake let's say it is. Even then the author has to really twist and turn in trying to justify Machiavelli's various advice so as to remove the odious reputation that has attached itself to it as the result of ideas like  ""ends justify the means"" and ""might makes right"". In the end, the basic justification offered is that of utilitarian morality- that in a state that which is necessary for the common and greater good is ethical and indeed demanded, and that means that the Prince is vindicated in his actions as long as he is the agent of this ""good"".It seems to me that the author has just replaced one problem with another here. Instead of being amoral, Machiavelli can now be accused of being immoral if you disagree with utilitarianism, which many do. After all, if killing is absolutely wrong for an individual, why would it be correct for a state?  I don't want to get into this argument, which is an intellectually and morally intriguing debate. All I am pointing out is that by taking this path I am not sure the author has purged Machiavelli of the accusations that have dogged him over the centuries.As for the belief that it is a new interpretation to believe that Machiavelli was suggesting a radical political revolution in the form of a Republican form of government with it's attendant laws and liberties, again I am not qualified to judge this. In reading this author I am struck by how modern Machiavelli sounds, but whether this is a result of his prescience or the author's liberal interpretation, I cannot say.I do have one last comment, which pertains to this book but is also a generalization. This is a relatively short book [ the end of the epilogue is on page 184]. Recently I have read a number of books, both fiction and non-fiction, which I would also call short [the latest book in a popular fiction series was almost half the length of the previous books]. In considering this recent phenomenon I have begun to wonder if the advent of e-books, with their ease of publication and  difficulty knowing the length before you buy it, may be contributing to this explosion of stunted volumes. Maybe I am just overly suspicious and all these books would have been written anyway, but a part of me says there is no way they would have seen the light of day at these prices before the broad acceptance of the digital format. I love to read but hate to feel like I am being taken advantaged of. Publishers and authors take note.

"
17,Cathy Freeman,"

  Present

"
0,Jesse,"

This is a great read. Bobbitt presents Machiavelli as a statecraft genius whose whole body of work needs to be considered, not just ""The Prince."" Some feel the thesis, that Machiavelli's oeuvre fits exactly with Bobbitt's conclusions in the tomes ""Shield of Achilles"" and ""Terror and Consent'"" is at best self-serving and at worst incorrect. To me that's irrelevant. Bobbitt is widely credited as one of the only political theorists who understands where we are now as a society facing terrorism and 
This is a great read. Bobbitt presents Machiavelli as a statecraft genius whose whole body of work needs to be considered, not just ""The Prince."" Some feel the thesis, that Machiavelli's oeuvre fits exactly with Bobbitt's conclusions in the tomes ""Shield of Achilles"" and ""Terror and Consent'"" is at best self-serving and at worst incorrect. To me that's irrelevant. Bobbitt is widely credited as one of the only political theorists who understands where we are now as a society facing terrorism and where we might go. Regardless of Bobbitt's conclusions concerning ""The Prince"" (which I think are insightful) ""The Garments of Court and Palace"" serves as a great introduction to Bobbit's theories on constitutional order.
...more

"
1,Robert,"

Gary Wills in New York Times Review. No Like.""He just shows us how wonderfully Machiavelli agreed with Bobbitt’s longer works — as if Niccolò had read them half a millennium ago. Machiavelli is often viewed as surprisingly modern, but does that have to mean he must be surprisingly Bobbitt?""The New York TimesAugust 2, 2013New StatesmanBy GARRY WILLSTHE GARMENTS OF COURT AND PALACEMachiavelli and the World That He MadeBy Philip Bobbitt270 pp. Grove Press. $24.One expects a book by Philip Bobbitt t
Gary Wills in New York Times Review. No Like.""He just shows us how wonderfully Machiavelli agreed with Bobbitt’s longer works — as if Niccolò had read them half a millennium ago. Machiavelli is often viewed as surprisingly modern, but does that have to mean he must be surprisingly Bobbitt?""The New York TimesAugust 2, 2013New StatesmanBy GARRY WILLSTHE GARMENTS OF COURT AND PALACEMachiavelli and the World That He MadeBy Philip Bobbitt270 pp. Grove Press. $24.One expects a book by Philip Bobbitt to be over 900 pages (“The Shield of Achilles,” 2002) or just under 700 pages (“Terror and Consent,” 2008). Then how can he diet himself down to a mere 200 or so pages of text on Machiavelli? Bobbitt is a great systematizer in the Toynbee mold — “Shield” gave us six different state systems since 1500 (princely, kingly, territorial, imperial, national, ­market).“Terror” focused on one condition (the market state), but that state is still in formation, so Bobbitt argued its case more (and more and more) extensively. Then how does he deal with Machiavelli so compactly in “The Garments of Court and Palace”? Very easily, as one can tell by the frequency of his self-citations in the new book. He just shows us how wonderfully Machiavelli agreed with Bobbitt’s longer works — as if Niccolò had read them half a millennium ago. Machiavelli is often viewed as surprisingly modern, but does that have to mean he must be surprisingly Bobbitt?Machiavelli fits into Bobbitt’s scheme because he is the expounder of the first of the six state systems in “The Shield of Achilles,” the princely one (Machiavelli even graced the form with its Bobbittian name). Bobbitt believes that legal systems are changed by military strategies, often by military technology. So, in 1494, when Charles VIII brought bronze cannon into Italy, threatening fortress walls and smashing the governments that relied on them, Machiavelli had to propose new walls, along with new states to defend them. This must mean that Machiavelli was interested in new technologies for war — though in fact he was not very interested in forts (he thought they were less vulnerable to siege than to inner rebellion). In the encyclopedic “Art of War,” he suggests an improved design for forts, but he is still concerned with inner rebellion (he forbids an inner keep where the residents can hole up and tells us starvation is more effectual than siege). Nor did he invest his time or energy in the technological innovations of Leonardo (their one collaboration, diverting a river, was an ancient concept, and it failed).What Machiavelli was interested in was old systems, and especially old military systems — Roman ones, in fact. These were powerful not because they relied on new weapons but because they were based on virtù, an expression of their manly religion. Unlike Christianity, which makes people humble and otherworldly, Rome’s religion instilled a thirst for glory and freedom in this world. In Christianity “the ritual is more mincing (delicata) than grand, without fierce or manly (gagliarda) energy.” Roman “ritual was as grandly ceremonious, but it added the energy of a sacrifice deep in blood and fierceness, slaughtering hordes of animals. By being terrifying in this way, it made men just as terrifying.”Bobbitt thinks that Machiavelli’s prince could be ruthless, like the Romans, because he invented that new thing, “the princely state,” which must be preserved for the benefit of all. Thus crimes done for the state are no crimes. They are, in fact, rather altruistic. The prince must “subordinate all other indicia of right behavior to the one parameter of serving the state.” Those murdered are rightly murdered for being enemies of the state — a convenient rule for the prince, who is the state. He sacrifices himself to himself.Machiavelli is even made to endorse Bobbitt’s concept of the market state, on the rather broad ground that he was the “philosopher” of Bobbitt’s first state, so he would buy into the sixth one as “our sublime predecessor.” The new book is more vague than was “Terror and Consent” about the military obstetrics of the market state. Here Bobbitt just says it is “coming into being as a response to changes in the strategic context.” There he told us terrorism is at least the partial cause of the market state, which mirrors it. If Al Qaeda can operate freely across national entities, relying on modern communications, computer funding and ideological inventiveness, then we must do so too, calling on creative minds “free of many of the legal and political restraints that bind government officials.”This means continual outsourcing of previously governmental acts, and omnidirectional deregulation. The right must stop regulating abortion and pornography, the left must stop regulating hate speech and, through affirmative action, hiring — such acts “promote national values in defiance of the market.” Terrorists are “entrepreneurial,” so our market state must be an entrepreneurial state. Terrorists use the media, so we must use them (the media, we are told, are nimbler than bureaucrats). If they use Visa to finance strikes, so should we. We can abandon our own state limits to engage in “state building” around the world to cope with the terrorist state.Bobbitt says the market state has been in process of formation for a while. In “Shield” one of its prophets would seem to be Oliver North. The entrepreneurial Iran-contra (arms for hostages) transaction “anticipated the new market state,” and was “a natural market response to the problem of overregulation” (by overregulation he means the Boland Amendment against funding the contras in Nicaragua). Old nation-state rules should not hamper new market-state solutions. That is what Bobbitt says happened in the Iraq war. The open nation-state strategy was a quick decapitation of the Iraqi government. But since the war was with the mobile “virtual state” of terrorism, what was needed was a market state mirroring its tactics. (Blackwater and all the other private contractors were too hampered by the nation state, not yet acting as the market state.)But the best entrepreneur of the new counterterrorist terrorism was Dick Cheney, with his “enhanced interrogations” of captured terrorists. Bobbitt says torture may not be used just to score a political point or secure a judicial conviction. But the new state has to have new rules. In former wars, captives were forced to surrender their arms. In the new wars they must be forced to surrender their information. “There cannot be a ban on the collection of strategic information — information from terrorist leaders and senior managers — by whatever means are absolutely necessary short of inflicting severe pain when that information is likely to preclude attacks.” That is just the legal guidance Cheney got from John Yoo, a deputy assistant attorney general in the Office of Legal Counsel. Neither Yoo nor Cheney thought waterboarding inflicted “severe pain.” The new prince, like Machiavelli’s old one, can commit crimes if they are in service to the state. The aim, after all, is to escape those “legal and political restraints that bind government officials.”It has often been noticed that war makes adversaries end up resembling each other; but Bobbitt would have us start out resembling our foe. Terrorists, he says, are not just criminals. They have created a “virtual state,” and we have to create an entirely new kind of state to cope with it. This reminds me of the people who denounced democracy in the 1930s as too slow and stumbling to respond to the rise of dictators. Some would have had Roose­velt and Churchill create a new kind of state, baffling dictators with “good guy” dictatorships.Not even Bobbitt thinks a new state was born of that crisis — his “nation state” runs unbroken from 1914 to 1990, and was able to survive World War II and the cold war. Only Al Qaeda and its ilk are enough to make us create an entirely new political order. Those who have seen the efficiency and lack of corruption in unregulated medicine and banks and Blackwater-type operations will have a little trouble hailing Machiavelli as a sponsor of the Higher Cheneyism.Garry Wills, emeritus professor of history at Northwestern University, is the author, most recently, of “Why Priests? A Failed Tradition.”
...more

"
