,Unnamed: 0,0,0.1,0.2
17,17,Chris,"This was my first political science book, and I was surprised to see it becoming a real page turner after the first two hundred pages. I had no idea how important the middle group of people are in a state. I don't know how much this corresponds to the present, but you hear on the news how the middle class is disappearing, the rich are getting richer and the poorer are getting poorer, and now all of a sudden there is cause for alarm because Aristotle says this is how nations become unraveled!The entire time Aristotle was talking about the ideal state, I really got the feeling of where he considered himself in the hierarchy - as part of the elite. He talked about the polity but to me it felt like he was placating to the poor and middle class so as to maintain the current system, and not for the sake of it being the best state. A good example would be when he talked about farmers not having the time to work in government versus the rich who do, so the rich will rule and the poor and middle classes will be able to scrutinize without having the time or resources to get involved. It seems this is a more practical way to look at a society. We want to believe that we live in a place where everyone has a vote and we're all equal, but like Aristotle says, we're not equal. People with money and education are worth more to a state than a poor person with no education.Well that's kind of depressing. Reading this book makes me want to hide in the comfort of eastern philosophy where we are all one, where the illusion of ego and status melt away and all we are left with is a single consciousness.What else. There are a lot of subjects to tackle after reading this book, but I'll stop here. I admire what Aristotle was able to put together. On a separate note, in Plato's ""Crito"", Socrates provides his reasons for not fleeing Athens after the court decided to put him to death. I wonder what Aristotle's argument would have been (I want the 'sin against philosophy' argument flushed out) for running away. I don't know why, but at a basic level Socrates seems to have more virtue for staying and facing death.
...more
",really liked it
18,18,Robert Davis,"Aristotle speaks through the ages in his classic Politics. Many of his observations, especially those on education, were prescient and are as relevant today as they were 2400 years ago. Aristotle examines different kinds of government and the advantages and dangers of each. He includes insight into many of the problems of democratic government that would be left unsolved for 2000 years- and some that remain unsolved. Aristotle not only predicts the dangers of socialism and communism, but also their downfalls. He examines public spirit, justice, and the meaning of life. This book is a rare watershed moment of in the study human nature. While Aristotle's attempts to understand the scientific underpinnings of the universe via philosophy have been disproved, his philosophical and logical examinations of man, the political animal, are timeless and relevant in an age when short-lived mini-philosophies and faux-profundity pass for intellectual undertakings.
...more
",NONE
19,19,hami,"Such a pity that today's modern civilizations are built upon such one-dimensional, racist, sexist, ableist and hierarchic ideas of state, humanity, and nature. If politicians would read something else instead of this book, maybe things would have been very different than now. No wonder, that 'war' has been usually the determinate factor of the natural and normal discourses and traditions up until now.Why is Aristotle so obsessed with determining the 'natural state' of 'everything'? As if, as soon as they reach the natural state of everything (the natural that Aristotle wants) things will be in balance and equality! and humans will live happily ever after (with slaves of course). No wonder he was the teacher of Alexander III of Macedon (a.k.a great) the greatest murderer in human history.
...more
",did not like it
20,20,Jonathan Wang,"Quite possibly one of the worst books I've read in recent memory. It was actually painful trying to finish reading this book. Aristotle's words are obtuse, his arguments vague and it all just makes me want to fall asleep (I have actually fallen asleep numerous times while reading this book due to sheer boredom and uninterest). I'm sure there is troves of important information among these pages of gobbledygook, but I think Aristotle was just too galaxy brained for it to be comprehensible to the modern reader. I think I learned more about Politics from Cliffnotes and Sparknotes than Aristotle's own words.My fellow tutorial classmates warned me that they hated this book going into it, having read it in previous classes. Sadly, I now agree with them. My heart goes out to any future political science/philosophy students that will have to endure this madness.
...more
",did not like it
21,21,Brian Eshleman,"Evaluating my experience with the book, without daring to say that Aristotle was anything less than a five star intellect.",really liked it
22,22,ziombel,"The work of Aristotle is a good source about the types of regimes prevailing in antiquity. The author describes both the disadvantages and the advantages of such regimes. The interesting thing is that in many places you can see that socialism and its related ideas are nothing new, because the author repeatedly mentions even with regimes that tried to set the equality of humans or plunder the rich to the poor. If someone is interested in various forms of governance in ancient Greece is recommended if you do not I do not recommend. According to me it is worth to pay attention to several issues:1. Authorisation of slavery people who are slaves by nature. Unfortunately, Aristotle did not write exactly why nature allows some people to servitude, but not others. Human nature is one and we are all humans, unless someone wants to voluntarily relinquish their rights. Therefore, there should be no tolerance for slavery.2. According to the author percent is bad, because according to him money using the percentage born themselves, which is contrary to nature. I would like to post here a series of profanity expressing my indignation at this idiocy, but it is not the right place. Unfortunately, in the times of Aristotle, there was no such thing as Economics, so people usually regarded percent for evil, but it is not. What then is the percentage? The percentage is premium for the risk and the payment for refraining from consumption by the lender. The Austrian School of Economics (ASE) functions such concept as ""time preference"". It is a measure of how people covet The present-day goods over future goods. A person with a low time preference is willing to save more, or refrain present consumption in favor of future profits. Person with a high time preference is just the opposite, that is more likely to spend more and take debt at the expense of future consumption. Savings of people with low time preference are then invested or deposited in the bank(in my deliberations I not included the creation of money out of nothing by the State, because it is a separate topic). As a result, a person with a higher time preference can take out a loan. And percentage is pay for refraining from consumption by the holder. If I lend someone 1000 $, and this person return money to me in a week, rather no one sees nothing wrong with that. But if I borrow 1000 $ someone and that person will give me the exact 1000 $ in 10 years, then you consider that it is okay? But the creditor can not use this money for a long time. In addition, there is no guarantee that the person will return it to him. Thus, in addition, such a person also needs premium for the risk because not all the debtors are solvency. Additionally saving supports capital accumulation, allowing more advanced investments and production of increasingly sophisticated goods. Without this, there would be practically no development. Western Europe is much richer than Africa, thanks to a much earlier start of the accumulation of capital, which was made possible by a change in people's thinking. This led to the Industrial Revolution and a significant increase in the wealth of all people. I do not see anything unfair in charging interest.3. Aristotle said at one point that as we have righteous people in power, they would give the power voluntarily to people more virtuous. It is of course absurd. Why would anyone voluntarily waive privileges to someone else?4. Aristotle in one place called the view that democracy is equivalent to freedom. This is not true. Freedom lies in the fact that anyone can do what they want until they violate the freedom of others. On the other hand democracy is that form different groups and the largest group (not the majority of citizens as Democrats say) imposes its will on others and rob them. Of course, other groups may seize power, but it will lead only to change the direction of looting. Democracy obviously leads to a desire to impose own will to others and the looting of all by all, which has been well described in The Law written by Frédéric Bastiat, which I recommend to read. Someone may ask, of course, that if democracy is bad, what to replace it. In my opinion the best will be the minimum state that took care about a police, legal system, the military and foreign policy. Such state should be prohibited from interfering in the private affairs of the people and the economy. And the way how it will choose the officials, which will obviously be very few(whether by voting citizens, or something else) is secondary.5. The last thing I want here to keep reminding Aristotle, is the desire to repair people by state education. Why would philosopher impose to me his values? In recent times it appeared several such men (Hitler, Stalin, Lenin, Mao, etc.) who have tried to implement this idea and it ended tragically. Each of us is different and professes different values. Besides, who is to decide what is virtuous and what is not? It is impossible to unify people, because the majority will always reject this values and the only way is to send such people to gulags and concentration camps. It is better to let people act and do not interfere as long as one does not violate the freedom of others. I recommend to read The Virtue of Selfishness: A New Concept of Egoism written by Ayn Rand.There were many other things that can give cancer but I decided that I will no refer to them because they are less cancer-giving.//polishDzieło Arystotelesa jest dobrym źródłem o rodzajach ustrojów panujących w starożytności. Autor opisuje zarówno wady, jak i zalety takich ustrojów. Ciekawą rzeczą jest to, że w wielu miejscach widać że socjalizm i jej pokrewne idee nie są niczym nowym, ponieważ autor wielokrotnie wspomina choćby o ustrojach, które próbowały ustawić równość u ludzi lub też grabić bogatych na rzecz biednych. Jeśli kogoś interesują różne formy rządzenia w starożytnej Grecji to polecam, jeśli nie to nie polecam. Według mnie warto jednak zwrócić uwagę na kilka kwestii:1. Pozwolenie na niewolnictwo ludzi, którzy są niewolnikami z natury. Niestety Arystoteles nie napisał dokładnie dlaczego natura jednych ludzi pozwala na zniewolenie, a innych nie. Ludzka natura jest jedna i wszyscy jesteśmy ludźmi, chyba że ktoś chce dobrowolnie zrzec swoich praw. Dlatego nie powinno być przyzwolenia na niewolnictwo.2. Według autora procent jest zły, ponieważ według niego pieniądze za pomocą procentu rodzą się same, co jest sprzeczne z naturą. Chciałbym zamieścić tutaj serię wulgaryzmów wyrażających moje oburzenie na ten idiotyzm, jednak nie jest to odpowiednie miejsce. Niestety w czasach Arystotelesa nie było czegoś takiego jak Ekonomia, więc ludzie zazwyczaj uważali procent za zło, jednak tak nie jest. Czym w takim razie jest procent? Procent jest premią za ryzyko oraz zapłatą za powstrzymanie się od konsumpcji przez pożyczkodawcę. W Austriackiej Szkole Ekonomii(ASE) funkcjonuje takie pojęcie jak ""preferencja czasowa"". Jest to miara tego, jak ludzie pożądają dobra teraźniejsze nad przyszłymi. Osoba z niską preferencją czasową jest skłonna więcej oszczędzać, czyli powstrzymywać się teraźniejszej konsumpcji na rzecz przyszłej. U osoby z wysoką preferencją czasową jest na odwrót, czyli jest bardziej skłonna do wydawania i zadłużania się kosztem przyszłej konsumpcji. Oszczędności osoby o niskiej preferencji czasowej są później inwestowane lub też odkładane w banku(w swoich rozważaniach nie uwzględniam tworzenia pieniądza z niczego przez państwo, ponieważ jest to osobny temat). Dzięki temu osoba z wyższą preferencją czasową może wziąć pożyczkę. I procent właśnie jest zapłatą za powstrzymanie się od konsumpcji przez oszczędzającego. Jeśli pożyczę komuś 1000 zł, a ta osoba za tydzień mi je odda, to raczej nikt nie widzi w tym nic złego. Ale jeśli pożyczę komuś 1000 zł a ta osoba odda mi dokładnie 1000 zł za 10 lat, to uważacie że to jest w porządku? Przecież wierzyciel nie może korzystać z tych pieniędzy przez długi czas. Dodatkowo nie ma gwarancji na to, że ta osoba mu to zwróci. Zatem dodatkowo taka osoba potrzebuje także premii za ryzyko, ponieważ nie wszyscy jej dłużnicy będą wypłacalni. Dodatkowo oszczędzanie wspomaga akumulację kapitału, co umożliwia coraz bardziej zaawansowane inwestycje i produkcje coraz bardziej zaawansowanych dóbr. Bez tego nie było by praktycznie rozwoju. Choćby zachodnia Europa jest znacznie bogatsza od Afryki właśnie dzięki znacznie wcześniejszemu rozpoczęciu akumulacji kapitału, co było możliwe dzięki zmianie myślenia ludzi. To doprowadziło do rewolucji przemysłowej i do znacznego wzrostu bogactwa wszystkich ludzi. Nie widzę nic niesprawiedliwego w pobieraniu procentu.3. Arystoteles stwierdził w jednym miejscu, że jak będziemy mieli cnotliwych ludzi przy władzy, to oddadzą oni władzę dobrowolnie ludziom bardziej cnotliwym. Jest to oczywiście absurdalne. Dlaczego ktoś miałby dobrowolnie zrzec się przywilejów na rzecz kogoś innego?4. Arystoteles w jednym miejscu przywołał pogląd, według którego demokracja jest równoważna z wolnością. Nie jest to prawdą. Wolność polega na tym, że każdy może robić sobie co chce dopóki nie narusza wolności innych. Natomiast demokracja polega na tym, że formują się różne grupy i największa grupa(nie większość obywateli jak to mówią demokraci) narzuca swoją wolę wszystkim innym i grabi ich. Oczywiście inne grupy mogą przejąć władzę, ale doprowadzi to tylko do zmiany kierunku grabieży. Demokracja w oczywisty sposób prowadzi do chęci narzucania swojej woli oraz grabieży wszystkich przez wszystkich, co zostało dobrze opisane w The Law napisanym przez Frédéric Bastiat, które polecam przeczytać. Ktoś może oczywiście zapytać, że skoro demokracja jest zła, to czym ją zastąpić. Według mnie najlepsze będzie państwo minimum, które zajmowało by się policją, systemem prawnym, wojskiem oraz polityką zagraniczną. Takie państwo powinno mieć zakaz mieszania się w prywatne sprawy ludzi oraz w gospodarkę. A to, jak będzie wybierać się urzędników, których będzie oczywiście bardzo niewielu(czy to przez głosowanie obywateli, czy coś innego) jest sprawą drugorzędną.5. Ostatnią rzeczą którą chcę tutaj wypomnieć Arystotelesowi, jest chęć naprawy człowieka przez państwową edukację. Dlaczego jakiś filozof miałby narzucać mi wyznawane przez mnie wartości? W ostatnich czasach pojawiło się kilku takich panów(Hitler, Stalin, Lenin, Mao itd) którzy próbowali zrealizować tą ideę i zakończyło się to tragicznie. Każdy z nas jest inny i wyznaje inne wartości. Poza tym kto ma decydować o tym, co jest cnotliwe a co nie? Nie da się ujednolicić ludzi, ponieważ zawsze większość będzie się temu opierała i jedynym wyjściem będzie wysyłanie takich ludzi do gułagów i obozów zagłady. Lepiej pozwolić ludziom działać i nie ingerować dopóki nikt nie narusza wolności innych. Polecam przeczytać Cnota egoizmu napisaną przez Ayn Rand.Było jeszcze wiele innych rakogennych fragmentów ale uznałem, że nie będę się do nich odnosił, ponieważ są mniej rakogenne. 
...more
",liked it
23,23,Dany,"“We should take it, indeed, that pretty well everything else too has been discovered many times, or rather an infinite number of times, in the long course of history. For our needs are likely to teach the necessities, and once they are present, the things that add refinement and luxury to life quite naturally develop. Hence we should suppose that the same is true of matters pertaining to constitutions. That all such matters are ancient is indicated by the facts about Egypt. For the Egyptians are held to be the most ancient people, and they have always had laws and a political organization. Therefore, one should make adequate use of what has been discovered, but also try to investigate whatever has been overlooked.” (Book VII) 
...more
",really liked it
24,24,Matt,"The final thought that Aristotle leaves us in Nicomachean Ethics is the main source of tension in The Politics. The goal of existence in Nicomachean Ethics is happiness which can be achieved through the contemplative life, but Aristotle is rooted in Greek culture and cannot conceive of happiness outside the city-state. His opening line in The Politics sets his baseline:  Since we see that every city is some sort of partnership, and that every partnership is constituted for the sake of some good (for everyone does everything for the sake of what is held to be good), it is clear that all partnerships aim at some good, and that the partnership that is most authoritative of all and embraces all the others does so particularly, and aims at the most authoritative good of all. This is what is called the city or political partnership. Pg. 36/ 1252al.  The city is thus the vehicle for goodness (aka virtue) which leads to the contemplative life and therefore happiness. Aristotle, like all of us, cannot escape all of his societal conditioning. This foundational belief that the city is a partnership designed to lead to good is grounded in the oft-quoted “man is a political animal“ or, more accurately, “man is much more a political animal than any kind of bee or and herd of animal is clear.” Pg. 37. An idea Marx latched onto. This lack of separation between the individual’s pursuit of contemplation and study and natural social tendencies is the underlying principle of The Politics. This is not a political book espousing freedom, productivity or the perpetuation of some other code. It is about constructing a state designed to survive and permit its citizens leisure.  Since the end is evidently the same for human beings both in common and privately, and there must necessarily be the same defining principle for the best man and the best regime, it is evident that the virtues directed to leisure should be present; for, as has been said repeatedly, peace is the end of war, and leisure of occupations. Pg. 222/VII ch.15; 10-15.  Much of what is contained within its pages is not meant to be a theoretical rendering of government. Aristotle spends considerable time attacking the flaws he sees in Plato’s Republic and Laws. Just as Nicomachean Ethics was a book about “practical” ethics, The Politics is about “practical” politics. Again, Aristotle sees great value in the mean as a way of traversing problems that arise at the extremes of political positions. He puts great value on the middle class as a stabilizing force and a way to undercut discontent. Aristotle’s goal is to minimize corruption, maximize stability and encourage correct thinking which is thinking that sees value in the contemplative life. Unlike Plato, he refuses to ignore what he perceives as the realistic consequences of division of property and labor. Poorly apportioned equity can lead to sloth and discontent.Overall, if Aristotle was alive today, he’s the guy behind the scenes as some presidential advisor. He has an idea of what government should do, but he refuses to let his ideals rule his actions. He compares other forms of government, what’s worked, what hasn’t worked, and comes to a thoughtful analysis of what will get him closest to his goal of happiness. Few will probably read The Politics and come away with any great insights into governance, but Aristotle’s method is admirable. Though not above his times, he is a masterful deliberator of his times.  
...more
",it was ok
25,25,Otto Lehto,"This marvelous book of which many things can be said was 1) the beginning of analytical political science and 2) a critical summation and refinement of the normative political theory of the Greeks (especially Plato). Its achievements are staggering. There is an astronomical amount of fascinating and deliriously analytical content here, from the small to the very big, that has kept generations of scholars very happy (and sometimes very despondent). Aristotle's great strength as a political philosopher is his incredible capacity to distill debates and concepts down to their constituent elements and to expose the weaknesses and internal tensions in commonly accepted arguments. Unfortunately, Politics advocates for consistently harsh views on slavery, the role of women in society, and the hierarchical class structure of the ""virtuous"" society. I do not think it is fair to judge Aristotle's moral views by the standards of our own time; but even by the standards of his own time, Aristotle's view is not especially enlightened. This is especially true in relation to certain disadvantaged groups, including slaves, women, children, workers, the poor... In short, the overwhelming majority of the population (!), whom he considers unfit to rule, unfit for virtue, and unfit for happiness. As much as I admire the entire enterprise of the book, the reactionary elephant in the living room is no small blemish but an extremely insidious flaw in the whole normative system. To his credit, though, the clarity of his arguments allows for easy counterarguments. Detractors who have taken issue with his conclusions do not have to guess about where he went wrong, since Aristotle is crystal clear about his premises, arguments, and conclusions. Aristotle's ethical and political views are very complicated. He makes mincemeat of some of the advocates of tyranny and unlimited mob rule. He showcases the importance of written laws and constitutional principles. He dramatically improves upon the Platonic daydreaming of The Republic and The Laws. Some of Aristotle's political views are moderate or even progressive by the standards of his times. He hints towards a more progressive interpretation of his principles which has been a boon to later scholars who have taken his views on virtue to a different direction. However, there is no going around the fact that his views on class and gender reflect a very conservative, even reactionary, views on human nature. Aristotle not only reflexively believed in, but theoretically emphasized, the importance of social and political hierarchies based on natural inequalities where certain classes of people were excluded on principle. That said, it would be foolish to get hung up on what is old fashioned in a book written a long time ago when there is so much there that is absolutely fantastic, titillating, mind bending, clarifying, illuminating, and revolutionary. Not many books from 2,300 years ago can be said to feel so forward looking in their methodology (if not in their substantive conclusions). Aristotle demanded a rigorously scientific approach to governance and ethics. We should uphold the same tradition by emulating the Aristotelian discipline. The hypnotically compelling analytical precision of his argument impresses technically even when it cuts against our notions of equality and justice. This is not a book; this is the Bible of political science. 
...more
",really liked it
26,26,Jeremiah Lorrig,"Wow. I can see why this is the foundation that most political philosophy is built on all these centuries later. While some of his conclusions are strange/bazar to the modern mind, his structure of thought and analysis established a framework for evaluating good and bad governance. What a brilliant mind. ",really liked it
27,27,Marts  (Thinker),"Aristotle's treatise on governance...
...more
",it was amazing
28,28,Luíz Menezes ,Very good; speaks generally enough on many topics to still be of use today.,it was amazing
29,29,Lucas,"Notes on Politiká1. Previously, on his Ethics, Aristóteles had called politics the true human good. Politiká is in many ways a sort of companion piece of the ethical treaties, perhaps his intended centrepiece. It explores virtues this time in the context of communal life, a sort of macrowork where the previous one was more intimate, more personal. And in spite of it being a centrepiece of sorts, it's nowhere near as good as his Ethics. Has it aged? No doubt, but it'd be silly to expect otherwise. The problem is how Aristóteles, a man of great genius, was ultimately too anchored on his time to go further in his politics. Put him alongside Platón on this topic and he pales in comparison. There's less food for thought here: Politiká is mostly dry description.2. Aristóteles' approach is, as always, systematic. Most of the book deals with countless examples of different types of government. He goes through them one by one, listing their pros and cons, showing how they come to be, how they come to end. While doing so, Aristóteles comes across as a compassionate conservative. I like that. The process drags on. Aristóteles spends too much time simply providing comparing and contrasting. He doesn't look beyond the examples. One can pick the best pages of Politiká easily. He's at his best when he further develops his thelology into the context of politic and natural order. Or when he deals with education to ensure virtuous citizens.3. If Platón gets a bad rap for expelling poets off his ideal city, Aristóteles does so as well for his take on slavery and women. I want to forgive him because it's obviously a product of his time and him, being a compassionate conservative, is bound to defend it. But nonetheless, this restricted view of citizenship, excluding slaves and women, actually hinders his reasoning, something that is not present in Platón.4. At the end of the day, my admiration for Aristóteles has grown after reading his Politiká, those few complains aside. Where Platón was the idealist, Aristóteles was the realist. Aristóteles goes where the real fight is, looking for examples of real states and their failures, to try and grasp how things should be ordered. I'd take this one as the best introduction to politics out there, almost a perfect textbook on the different types of government, the state powers, citizenship, revolutions, all you need to know on the subject. Politiká is indeed too long, but its best pages are essential. 
...more
",liked it
30,0,Matt,"As Plato’s writings have been a cornerstone of Western thought, so have those of his pupil Aristotle through his own lectures and treatise sometimes agreed and disagreed with his teacher while shaping the views of millions over the millennia. Politics is one of the most important political treatise that has impacted society as it is studied alongside Plato’s own Republic not because they agree, but how they agree through different methods and disagree in conclusions.Unlike the approach of Plato, Aristotle focused on the examples that the Greek political world knew of to determine the best approach for government of a polis. Classifying the types of government into six forms, three “ideal” and three “perverted”, Aristotle described them as showing their pros and cons in an effort to establish the “best”. Then his analysis turned to various functions of government from laws, offices, and how to pass or fill either. Yet, underlying everything is Aristotle’s insistence that human nature determines everything concerned with governance.Politics, while thought-provoking and significant in its analysis and conclusions, is unfortunately not without its flaws. The biggest is Aristotle’s argument of natural rulers and natural slaves that is so opposite to the way many think today. The next biggest is that fact that the overall work seems like it is not coherently organized or even complete as many aspects that Aristotle says he will cover never appear and he writes about the bringing about his conclusive best government before actually proving what it is, though given his argument that the best government for a polis depends on how its population is constructed.Aristotle’s Politics is at the same both thought-provoking and maddening especially given the soundness of his analysis and the disorganized state of the overall treatise. Yet it is one of the most important treatises of political thought of the Western world and is significant in political and historical terms as it has been influential for millennia.
...more
",liked it
31,1,Laila,"It's rather silly to be critical on Aristotle's views on slavery, women, virtues and such; he was merely reflecting the culture and the setting of his time. Sadly, while slavery had been abolished or criminalized in most part of the world, nevertheless modern slavery still exist. Meaning we as human race still don't get it that enslaving fellow human beings for whatever reason is wrong.I agree with Aristotle that democracy while not the best form of governance is far better than the alternatives--monarchy or tyranny (I would add anarchism). Similarly, capitalism while not the best economics system is far better than the alternative--socialism.An interesting take from Aristotle in this book is that in order to stabilize the relationship between the rich and the poor classes (that always mistrust of each other) is to keep theses two classes small and in turn to create a larger middle class as a buffer thus lessen the tension among classes. What a clever bugger, Aristotle was to think of that. 
...more
",really liked it
32,2,Alex,""" . . . [I]t is quite evident that the city must be concerned [with] virtue . . . [f]or otherwise the community becomes an alliance, differing only in location from others in which the allies live far apart, and law becomes an agreement . . . but not such as to make the citizens good and just.""The rejection of defining a community based on social contract or economic incentive is a correct course, but it is not one genuinely kept throughout the pages of this work.
...more
",liked it
33,3,Grace,"Came for the politics, stayed for the education.Extraordinarily refreshing to read something out of my own time, warts and all.",NONE
34,4,Galicius,"Book ICommunities and states are established to bring the greatest good to its members. Qualifications of a king and master or householder are not the same as some (Plato) think. It’s not just the number of subjects they have to deal with. A statesman is also different and he rules when citizens set up a government and rule by political science. But there are different kinds of rule.Aristotle goes no to consider the relationship between master and slave, absolute and relative meaning of the terms. He questions whether slavery is indeed natural and compares warfare to hunting of wild animals. He points out that the Greeks consider themselves free men everywhere but don’t consider barbarians the same way. Barbarians are only free in their own land. He begins consideration of property and wealth getting both that which is necessary like obtaining food and managing household and the unnecessary type like unlimited gathering of coin or other property. Men confuse their goal of living well which has a limit of how much wealth it requires with that by which they become absorbed with acquiring wealth and property and loose sight of their original aim. Their desire becomes unlimited and unnecessary. There is a natural way of gathering wealth from fruits and animals or land or sea. The other way or retail trade is not natural. The “most hated sort” is usury which makes money out of money itself—“of all modes of getting wealth this is the most unnatural”.Theorizing about wealth getting may be worthy of philosophy but in practice such discussion may be irksome.There are three occupations in wealth getting: husbandry and farming; exchange, commerce, usury; mining.Aristotle gives two examples of financial speculation where one man created a monopoly of wine presses, and another a monopoly in iron. A husband and father rules over his wife and children, and as master over his slaves. “For although there may be exceptions to the order of nature the male is fitter to command than the female, just as the elder…to the younger and more immature.Aristotle raises the question whether there is any excellence and virtue in a slaves and women. If they “share in rational principle” it’s absurd to think they have one and should be ruled instead of ruling also.The ruler too can be unjust, cowardly and will not rule well. Both the ruler and subject have virtue but varying. Socrates said, “the temperance of a man and of a woman…are not the same…or the courage and justice”. All classes have their “special attributes”. He quotes Sophocles from Ajax: “Silence is a woman’s glory”. Masters should be a “source…of excellence” to the slave and not employ command only.The virtues of a family are supposed to make a difference in the virtue of the state. Aristotle will “examine the various theories of the perfect state” next.
...more
",it was amazing
35,5,Atratzu Talgala,"Why I wanted this book:I consider myself something of a slight armchair philosopher. I heard enough philosophy growing up that I definitely agree that the “unexamined life is not worth living.” I’ve combed the internet for free resources and checked out various lectures online. As an armchair philosopher I thought it kind of funny I didn’t even own any philosophy books… not proper philosophical-thought-books anyway, because naturally there are philosophies in the background of all that we say, do, see, read, etc.So I wanted to take the next step and pick up a philosophy book. Where better to start then the Ancient Greeks? I’m fairly familiar with Socrates, Plato, and Aristotle and that they are sometimes considered the foundation for western thought. However I’m not entirely certain this was the best book to start with, and would probably be better suited to read in a scholastic setting where questions would be asked during a lecture or after reading a section and there was a teacher specializing in ancient greek culture on hand.All that to say I got in over my head with this book. I’m not going to pretend that “ah yes, this book is rich and finely decorated” much like the emperor’s clothes. I struggled paying attention while I was reading and tried different methods to keep my attention on what I was reading. (A friend suggested I keep notes in a notebook, so that’s what I did and worked the best.)I’ll do my best to articulate my opinion on this book… but I’m afraid I have trouble recounting what I actually read. I have a notebook full of notes from 1313a11 to 1342b7. But without those notes I could tell you nothing about what I read just days after reading it. Again… I’m not sure what that says about me, the book, the translation, or something else.Bekker Numbers (I don’t understand them)First I would like to explain a detail about how this book is organized that I never really figured out: There are Eight “Chapters” in this book and they’re called “Books” for some reason. I don’t know why they’re called books instead of chapters, I suspect this has something to do with translation from greek… It might also be because the topic changes, but not until you’ve worked your way into that chapter. Oftentimes I found the thought continuing from chapter to chapter… Again, I found the organizational method very puzzling and distracting.The book is also organized by some set of numbers and letters which are related to the translation, called “Bekker Numbers” I’m sure all of that was very interesting and useful for people properly studying this manuscript and contrasting it with the original greek manuscript, but it just confused me as a casual reader... Especially since the book starts at 1252a1. Presumably meaning Politics by Aristotle starts at “page1252, left column, first line”.General statements about the book:There’s a lot of ideology that Aristotle had on governments and how the they should be run that just really doesn’t make any sense to me and might be best explained by an expert on the subject; Children raised by the state, the different classes (Husbandmen, Artisans, Gaurdians, etc), slavery, and more.However just as there are some confusing and appalling topics there is a lot of progressive thought that you can see influenced today's society. In particular I think of the general question “What is the purpose of government” and Aristotle's answer in book 7 (1328b8) “Let us enumerate the functions of a state, and we shall easily elicit what we want: first, there must be food; secondly, arts for life requires many instruments; thirdly, there must be arms, for the members of a community have need of them, and in their own hands, too, in order to maintain authority both against disobedient subjects and against external assailants; fourthly, there must be a certain amount of revenue, both for internal needs, and for purpose of war; fifthly, or rather first, there must be a care of religion, which is commonly called worship; sixthly, and most necessary of all, there must be a power of deciding what is for the public interest, and what is just in men’s dealings with one another”.It sure makes “Life, Liberty and the pursuit of Happiness” in the united states declaration of independence seem so much more succinct, doesn’t it?Honestly I feel like it’s difficult to talk about Politics by Aristotle because it’s such an incredible collection of ideas and thoughts that to do it justice you need to spend a lot of time discussing each book individually… Aristotle covers: What is a government/state? What form does politics take? The types of governments, what governments are good, what governments are bad,responses to governments from other city-states in the area, Education, public education, should children learn music? Aristotle uses analogies and comparisons to mathematics/geometry, and even musical modes “Dorrian is the manliest mode” according to Aristotle at 1342b7.I’m tempted to try to break each chapter into a topic and theme… but that’s very challenging for some sections of the book. Sometimes it feels like I’m reading a lecture, other times it feels like I’m reading the ranting of an old man, still other times I can understand why people are mesmerized by Aristotle's teachings. I feel like I ran the gauntlet of opinions throughout this book.Conclusion:So, I’ve said a lot of words about this book… what’s my conclusion? My final thoughts?I think that this book is an excellent collection of ideas. Some, I like. Some, I dislike. My experience with philosophy has always been a mixed bag of opinions and ideas that I agree with and disagree with. The value in philosophy for me is learning why I think what I think and being able to articulate that accurately and discuss it respectfully.So I pose more of these types of questions to myself: Did I learn anything? Was I exposed to new ideas? Was there value in reading Aristotle (outside of any worthless self-esteem “bragging rights”)? Easy answer: Yes.HOWEVER, I think I will need to return to this book someday and review it. I don’t think I have a strong enough foundation for my study of philosophy to properly appreciate all that is being discussed in this book. Again, I can’t shake the feeling that I’m not really understanding some of the key themes and topics addressed in this book, but I’m sure I’ll eventually crack it back open and try again.That’s the wonderful thing about learning and knowledge… it builds on itself. You need to learn basic mathematics before you try Geometry or Algebra. Politics by Aristotle might have been a bit too far of a jump for my current understanding but you’ll never know how you stack up unless you try. Besides, Aristotle can’t come get me and yell at me for not really understanding his writings very well. ...Just don’t tell his fans about me.
...more
",really liked it
36,6,B. P. Rinehart,"""Every state is a community of some kind, and every community is established with a view to some good; for mankind always act in order to obtain that which they think good. But, if all communities aim at some good, the state or political community, which is the highest of all, and which embraces all the rest, aims, and in a greater degree than any other, at the highest good."" from Book I I read this book for one of my political science classes and it marks my introduction to Aristotle. I have to say that despite his technical, opaque language it was a very good very informative read on how and why politics is created. This book is not as difficult as I thought it would be but it is not the warming receptive narrative of Plato. I won't go into detailed breakdown of every part of this treatise but the important points. The first point is that humans are political animals by nature because we have he ability for (sophisticated) speech and reason. The second thing is the idea of there being ""good"" forms of government and ""bad"" forms of government. The ""good"" forms of government are monarchy, aristocracy, and constitutional/polity. The ""bad"" forms of government are tyranny, oligarchy, and democracy. He spends a lot of time detailing different forms and examples of all of these types of government. For this project Aristotle spent years gathering information and surveying many all of the city-states in Greece and the ""barbarian"" countries outside of Greece. Despite living around Athens he believes Sparta (aristocracy) to be the best administered state in the Hellas. This was one of the most ambitious political science research projects in history to that point and it deserves the honor that it gets. 
...more
",really liked it
