,0,0,0
10,Tyler Storm,"I read the Alan Wardman translation of books 1-3 and supplemented with the Ernest Barker translations from a separate book that I own (Oxford world classics version). I primarily used the selections provided in the Signet Classics Philosophy of Aristotle book. His ideas here are pretty revolutionary given the time period. He also responds to various theories promulgated by Socrates and Plato. You need to have some background knowledge to fully grasp the book but his views are widely adopted today. The introductions of the Oxford world classics book and Signet Classics book was helpful though. The Oxford version contains substantially more background information and detail which I will revisit in 2021. I'll have to reread portions of this book that were not included in the Signet Classic selections sometime in the future. Pretty good read though.The Oxford world classic featuring the translation from Ernest Barker is light years ahead of the Signet Classic version. I only bought the latter because it had several of Aristotle's works (selections only) and was selling at a cheap price of $8 as opposed to $16 for just one of Aristotle's works. I was fortunate to get a copy of the Oxford world classic version of Politics at a goodwill for a dollar or two. I'll be using this copy when rereading Politics
...more
",really liked it
11,Neil Johnstone,"An amazing book, should be read in every school im sure it is at posh schools because as aristotle says the education for the ruler and the ruled must be different. He writes about the perfect state the differences of democracy, oligarchy and tyranny and also says that the long lasting states are a mixture of democracy and oligarchy and can be described as both.He would say that 90% of us are not citizens (subjects) and therefore shouldn't vote of matters of the state because only statesmen have that right or super wealthy. Loads of passages why social or making things equal in wealth and property doesn't work simply put humans get comfortable and then want more cuz we are idiots.Amazing to think this was written 3000 years ago and we are still in these same cycles or could with depressing that we are still doing this.Talks about education and eugenics and keeping the population down to two children probably not a bad idea but seems cold also he'd kill me and my crip brothers so aristotle bit of a bastard but trying to find the reason for a state to help people like me still grappling.It is always the weaker who go in search of justice and equality; the stronger reck nothing of them.
...more
",it was amazing
12,Kevin,"This one is really difficult to review but I'll try. Do I agree with Aristotle? Mostly not, but partially for lack of a solid knowledge base about Ancient Greece, and partially because I don't find slavery to be a natural condition and don't believe women to be inferior. I'm glad I read Plato's Republic before this one and I wish I had read Plato's Laws and Aristotle's Nicomachean Ethics before this as well, among other general histories. That aside, did he make me think? Certainly. The idea that constitutions , ideal constitutions for specific states, should be different and likely shifting, according to conditions at the time is a interesting thought. Was our constitution the best possible constitution when it was written (during an agrarian society)? Does our constitution represent the best constitution we could have now (for a highly industrialized and technological society)? Interesting to think about. This is by no means an easy book to read, partially because it probably was never meant to a book, as such. The 1/3 editor's notes and 2/3 Aristotle writings was a good mix. I'd like to come back to this in a decade or two, for now i'd say it's a thought provoking & difficult read.
...more
",liked it
13,Mauricio Garcia,"I find it bizarre that readers acknowledge that the world (civilization) of Aristotle is not the world that we live in today, but use that as a justification to hold our current political system and specially values as inherently ""right"". I don't know if they understand that in doing so they act in the same authoritative way as Plato and Aristotle did at their time, —and surely if humans from 2500 years in the future could read their reviews and find out our current political and morals stands (in all its spectrum) they'd be dismissive of them as well.My point being that it shouldn't be the most important aspect of this Essay wether or not it aligns with current thinking.As for the book itself, it is an interesting read for anyone remotely interested in political systems, even if, as is usual with Aristotle, his encyclopaedic categorization and analysis is more of value as an historical curiosity than of practical implementation: a window to the relationship between Greco-Roman and Western societies as a more 'perfected' successor (more just? equitable? """"""humane""""""?) regarding their rule and form of government.
...more
",liked it
14,Larry Norton,"I'm going through Aristotle's works one by one. Started with The Nichomachean Ethics, then The Politics. Next, The Art of Rhetoric. Hope to tackle Metaphysics and Physics, as well.Again, it is kind of silly to give a rating to Aristotle, but my rating is a nod to the edition. For each chapter of The Politics, Trevor Saunders provides a brief introduction and overview of what is to come, often providing historical context as well as insights into how the Greek has been translated. Extremely useful for tackling the text itself.Meanwhile, reading Aristotle was a surprisingly startling experience for me both for how relevant many of his observations are to today's political landscape, but also how different his world and many of the things he took for granted were (see for instance his discussion of slavery). His writing is very accessible with very little in terms of complicated philosophical jargon. Saunders is helpful in guiding the first time reader through Aristotle's larger themes, such as his teleological take on the world, without getting mired in the centuries of debate that have surrounded these ideas.Well worth the effort!
...more
",it was amazing
15,Bogdan,"Although an arduous read at times, I'm glad I pushed through some of the difficult parts and managed to finish this book. I found Aristotle's classification of constitutions not only as relevant as ever, but actually universally. Every state that ever existed and will exist will invariably fall under one - or more likely several - of the 6 forms of government described in the book: tyranny, monarchy, oligarchy, aristocracy, democracy, constitutional government.What I found remarkable, especially compared to Plato's Republic, is the inductive method Aristotle uses. He looks at many of the city states of his time and before his time, and compares the different constitutions and their relative success. From these real life data points, he draws conclusions as to which are the best constitutions for different types of city states. Aristotle really did put the ""science"" in ""political science"".It's definitely not an easy read and I'm deducting 1 star for the long and vague passages around the mid section of the book, but I would highly recommend it to anyone the least bit interested in politics.
...more
",really liked it
16,Daniel Triumph,"Look, I have a preference for Plato over Aristotle. Plato wrote dialogues, and Aristotle more or less wrote textbooks. Plato tried to discover and theorize and had an open but almost charming bias for philosophers. Aristotle tries to be objective, but while some of Plato's ideas are progressive even for our time, much of Aristotle's assumptions are stuck in ancient Athens.Aristotle is great and vital for any student of science or philosophy. But, he spends a lot more time describing things than creating and arguing philosophical theories. The Politics, I fear, is not very important any longer. Where it does shine, and where it takes my attention is his criticism of Plato's idea of having women and children in commen. It was a strange and poorly supported part of the Republic, and Aristotle rightly argues that it is likely irrelevant to a good state, and worse, potentially destructive to it. The commentary on Plato was the best then. You can see I'm biased, but perhaps my point is still understandable and valid despite it.
...more
",liked it
17,Raymond Raad,"This book is surprisingly good, and in a sense it is modern too. He poses many of the same questions that arise today in forming a political order. His influence on the founding fathers is obvious as well. Essentially Aristotle is trying to solve the problem of how a large number of people can live together most productively. He has an individualist perspective - the fundamental unit of society is the individual and the nuclear family. He ultimately favors a type of limited democracy but is aware of the ways it can lead to tyranny. So he moderates it through the rule of law, through an active and large middle class, and through some oligarchic elements. He is concerned that each strata of society has enough of a role. He is also concerned that the meritorious have a role in the society, and struggles to ensure that they have a role through moderation. Seems to me that today, Aristotle would support a strong congress, the electoral college, and federalism as moderating forces. 
...more
",it was amazing
18,Yousef M,"Aristotle's Ethics about virtue and how to live a good life is really a setup for the Politics such that they can be considered parts 1 and 2 of a larger book. Politics is derived from ""polis"" the Greek word for city, which was seen as an ideal community in which human beings could flourish and informs Aristotle's investigation. He goes into advantages and weaknesses of different constitutions and regimes (particularly focusing on monarchy, oligarchy, and democracy), comparisons of how a city-state should be run relative to a household or even marriage, what constitutes a citizen, and the education of a city-state to ensure it's prosperity. It can get a bit tedious at times (and perhaps I am feeling Ancient Greek philosophy-fatigue), but no one can deny Aristotle's incisive analysis and his honesty in questioning his own preconceived notions. What makes Aristotle's writings so special is his comfort in leaving the reader without a clear answer but plenty of legitimate viewpoints.
...more
",really liked it
19,John,"Believed to be a collection of notes for lectures of Aristotle, collected, I expected this book on ancient Politics to be one of the most tedious of Aristotle. And yes, I was quite right. However, I see the value of this as a source for historians and for the development of politics and political thinking. For me, the interest of ancients systems on ancient terms are rather lame, but there was still from time to times parts that were very interesting to read. I would say the three last books are the best out of them all. As for Aristotle, we can see he uses the ideas developed in earlier works while exploring politics, but it seems to me that this part is less cut in stone - less assured and much more of a time-sensitive matter. Politics change more than virtues, logic or even ethics. Everything considered I'm glad that I finally got to this book, even if it took its toll to read.
...more
",liked it
20,H.A.A. Zayour,"As it is said, you are either born a Platonist or an Aristotelian, and I don’t find myself to fall completely in a specific category, but I definitely am more of a Platonist. While reading the works of Aristotle, it is easy to feel that you are reading a scientific textbook aimed to inform the reader of main ideas and arguments, you cannot feel any emotions or feelings while reading, and the writer obviously was just regarding the issue as a phenomenon worth studying and observing, this is what marks Aristotle as a pillar of western philosophy. The benefit of this book thus lies in its informative nature, not the most entertaining of books for sure, but definitely a place of leisure for the minds searching for knowledge and direct information. I most certainly would always visit this work again for deeper understanding. Impressive work.
...more
",really liked it
21,Gunjan,"This book was mundane yet knowledge, tiring yet enthusiastic, taking me to reading slump yet I was eager to finish it. It took me a pretty much amount of time to finish this one because it was too conventional towards Greek politics. This could be one of the course books for students of Greece. This book was about how politics should be. It started with cities and families and individuals. And then moved on to government which can be of many types i.e democracy, oligarchy, aristocracy, tyranny. There were explanations about how one form of govt can take the form of other and how it will affect its citizens.You can’t rally review this book. It’s a classic and highly and profoundly knowledgeable. I’m happy to read this as such classics should be read by everyone at least for once in their lifetime. 
...more
",liked it
22,Josef Gottlieb,"Foundational Political Theory In ""Politics"" Aristotle outlines what makes the ideal constitution for a ""polis,"" comparing others that have been proposed (such as in Plato's ""Republic"") and those actively in use (such as in Sparta). Aristotle compares and contrasts the ""right"" forms of government (Monarchy, Aristocracy, Polity) and their ""wrong"" counterparts (Tyranny, Oligarchy, Democracy). He analyzes the household as a constituent part of the ""polis."" He makes recommendations for preserving a functional constitution, through education and promotion of the Virtues. Aristotelian political theory, alongside that of Plato is fundamental to understanding the development of the field throughout the history of Western civilization and should be a part of the education of every ""political animal.""
...more
",it was amazing
23,Daniel,"The politics in general is great. It was a ground breaking piece of political science that laid the foundations for political study later down the road. Nearly every great political theory up until the 20th century is captured in the treaty. Marxists will love the historical materialism, conservatives will love the mandatory separation of society's undesirables from the public sphere, liberals will love the allusions to public education and the wavering between democracy and aristocracy as the need arises, the Church will confuse the role of virtue as an aim of the state to one in which they are somehow the sole arbitrators of the social/political world....and the list goes on. It's got something for everybody to enjoy- except the anarchists, they won't like it very much. To the barricades then comrades!
...more
",liked it
24,Dorothy Himberc,"5 stars for importanceIt was difficult to read, although so much easier to read in Franz F. Schwarz's translation into German than trying to translate Aristotle from the original Greek myself that I have no grounds to grumble. There would be that one sentence - sometimes a sentence that takes up half the page - where you would think 'What the hell did I just read?' and reread it five times with no better result.But Aristotle's ideas can be wonderfully intuitive.His peculiar balance between democratic predilections like defending the civil rights of free citizens, and aristocratic absurdities like saying that slaves must feel no joy and harbour no thoughts, is as hair-raising as it is interesting.
...more
",it was amazing
25,Rajiv Chopra,"I was quite intrigued by Aristotle, and I have never read Aristotle in my life. I decided to read this book after reading another book. I forget which one, but...Aristotle's ideas were quite advanced. Society has changed since his time, and I don't agree with everything he said, but there is much that is still valid. I was especially intrigued by his sections on oligarchy and tyranny, and I am sure that I have been influenced by the situation in India today (April 2021). It's not just India, but we have seen strongmen rise in many countries. The edition I read, is excellent. The translation I have is excellent. I like the notes at the beginning of each chapter. They provide an excellent guide. 
...more
",it was amazing
26,Fausto Betances,"​Takeaways:Office should no provide means to enrichment do noble will be the only one that could hold. For poor people will be better off working the means of production for their and society’s good.Three tenants of the tyrant:Tyrants impose the humiliation af their subjects as a mean spirited man won’t rebel against anyone.The creation of mistrust as men will only conspire when they start to trust each other.And the incapability of action.—When one of the leaders lose their property they are ripe for revolution. But when others do, not much happens.—The weaker is always asking for equality but the stronger cares for none of these things.
...more
",NONE
27,dr_set,"A must read. I wish I had read this book immediately after Plato's Republic. Aristotle imitates his former teacher and writes about what he believes makes a perfect government and, in doing so, dedicates a couple of chapters to criticize The Republic.Puting aside the very lamentable chapters in favor of slavery, the rest of the book provides a great inside of how little we have advance on the topic in the last 2000 years, and how much influence this book has had in western civilization.The author provides countless examples from history to support his claims that shows that the lessons he conveys to the reader were already old and well know even in his time.
...more
",really liked it
28,Joseph Raborg,"People don’t think that old books have anything to say to them; but, if there is one thing that Aristotle’s politics prove is that the core issues of government don’t change. His methods for a tyranny to protect its own power are still used to this day. (A few eerily mirror some features about modern American life in the past forty years.) I was surprised when he said that the surest way to make a monarchy permanent is by limiting the power of the king, which we see in so many European countries. Aristotle even points out the problems of communism! Simply put, if you want to really understand modern politics, you must read this 4th century BC treatise on the subject.
...more
",it was amazing
29,Daniel Sanderson,"A Treatise on Government is a fundamental philosophical text that will serve anyone interested in the history of political discussion and the merits of different forms of government. Being familiar with the work would prove very useful in a variety of political debates about the formation of the United States as it provides context for many aspects of the American government.Outside of the political realm, his ethics have gained renewed interest as a result of the modern advent of virtue ethics. However, all aspects of Aristotle's philosophy continue to be the object of active academic study today.
...more
",it was amazing
