,0,0,0
10,Maria,"Politics! The state! Democracy!Aristotle's words, much like Plato's in The Republic is sure to haunt me forever. As a keen democrat (yes, with a small ""d"") and as a citizen of a democratic country, it is truly interesting to see the roots of democracy and how our philosophical fathers thought about it. In Lincoln's words, ""The government for the people, by the people, and of the people,"" does not sound well with Aristotle, but it sure does sound well with me.It is more interesting to me, however, on the essence of the city-state itself and how Greek life involved around it. Even more so, our philosophical fathers' silence on slavery, which may have attributed to slavery's rice in the later centuries.If I were to write a thorough review of Politics it would take me much more time, probably because I took this book seriously. I read it almost as a person would study the roots of a tree to understand how it grows.
...more
",really liked it
11,Zo ,"Tried a re-read, only got through about half. Got some stuff out of it I wouldn't have if I hadn't read Plato beforehand, but largely still felt like the same repetitive ethnography of different political systems of his period with scattered interesting philosophical propositions (i.e. man as political animal) interspersed. I found it more productive/interesting reading the Stanford entry than the text itself, which is likely a combination of his turgid style and my own lack of understanding. I think if I were to read more Aristotle I should check out Nicomachean Ethics or Metaphysics since they are more ""purely"" philosophy. The Stanford entry has convinced me that coming to greater understanding of Aristotle has lots of philosophical utility, and I also can tell there are a number of ongoing interesting hermeneutical debates, but I think I need to either take Aristotle in a class or read him with secondary literature to get much out of it. 
...more
",liked it
12,Philip,"Many readers dislike the pre-Christian tendencies in this work regarding subjects like slavery and women, but it must be admitted that this was a product of its era. And we are a product of our era (which has in no little part been influenced by Christian notions of fundamental human equality). Yet for such great distinction in eras, Aristotle offers us a remarkable discussion of enduring issues of populism and aristocracy, rule of all versus rule of some, and so on. I found a number of the insights, while dated, impressively relevant to our circumstance today. Aristotle saw some of the issues of democracy and oligarchy much clearer then than we do now. Perhaps because of the fog of the current two-party system we fail to understand the common sense of what influenced the founding of our nation so many years ago.
...more
",liked it
13,Mike,"I flew through this book way faster than one should expect for a 1,000 page book. But that is not a good thing in this case. The reason is that I felt like I was reading in circles, so I started to breeze over parts that seemed to simply restate the things he was saying in pages and even chapters prior. Add that repetitive tone to the fact that it was centered around 2,500 year old sociopolitical philosophy.I mean, shame on me, I knew what I was getting into. Perhaps I shouldn't be critical about this book. Maybe I just got into a too-dense book that was about a too-sense topic that has no bearing on my life. I'm sure Aristotle will retain his reputation as a great thinker without my stamp of approval. For that, it wouldn't be right for me to rate it, so I give the big guy a no star review here.
...more
",NONE
14,Mohamed Abdelghany,"Politics is a political science book. It concentrates on the political history and behavior of the Greeks up to Aristotle's time. Nonetheless it doesn't offer a clear view of Aristotle's opinions and views; the way the book was written is very confusing it is keeps repeating the same ideas over and over, it also promises explanations and never fulfills. In the introduction the editor suggests that this might be a draft that Aristotle never finished.The ideas within the book are outdated and flawed. Aristotle's opinions on women, slavery, social structure are very offensive by our modern standards. However the book offers a good view to how ancient Greeks used to think politically. It is more interesting from a historical point of view than from a philosophical point of view. 
...more
",liked it
15,Eric Camarillo,"I'm always rather disturbed whenever an ancient text shows relevancy for today, but I suppose that's the mark of a great work and a thoughtful writer. This is definitely the case with Politics. It's a helpful book for understanding the societal organization of the ancient world as well as the foundation of our modern one. --Aristotle claimed that ""man is a political animal"" and that's still the case today. Though, I wonder, are we more animal than man?
...more
",it was amazing
16,Julie,"I want to sit at the feet of this great philosopher. He not only has expanded my mind on what the perfect state could be, but has helped me become a better wife, better mother and a better friend. His Politics includes one of my favorite quotes: "" . . inasmuch as every family is a part of a state, and these relationships are the parts of a family, and the virtue of the part must have regard to the virtue of the whole, women and children must be trained by education with an eye to the constitution, if the virtues of either of them are supposed to make any difference in the virtues of the state. And they must make a difference: for the children grow up to be citizens, and half the free persons in a state are women."" POL [1260b13] (Jowett)
...more
",really liked it
17,Liss Carmody,"I am not the person to offer a critique of this work, so I will only take a moment to say that it seemed very well reasoned, and parts of it were very enlightening in regards to the styles of government and how they might play out in real life terms. Aristotle seems very interested in arguing about the realities of politics (perhaps compared to Plato or Socrates, whose works he criticizes at several points). This is a dense, slow read, not so much because the words are difficult, or even the language, but because the logic is so thoroughly examined that it can become easy to be bogged down in the structure, such that you forget what the overall thrust of a particular paragraph is supposed to be. I found the sections on education most interesting, but there is a lot to cover here.
...more
",it was ok
18,Salma Dahab,"I have a tiny remark. I wasn't able to put the last two books 7, 8 in the map of the whole book. I mean is he describing his ideal state in a sense of ""Classical Utopia"" in which it would be unattainable, ideal, kind of criteria. Or he was describing the best attainable regime according to his perspective, so, those books would be kind of policy paper, However,The change in methodology - For political scientist to philosopher- deny this. Also, why did he ignore discussing political life in his ideal state while the whole book is revolving around this, Actually title of the book is ""POLITICS""?!,Did he left it in another place in the book or what?. Finally, I don't like him in last two books. His ideal state was a kind of repeating Plato or replying to plato. 
...more
",it was amazing
19,Zach,"Aristotle is, unsurprisingly, comprehensive and relatively close to inventing political philosophy in the west (it should be noted that I haven't read The Republic or The Laws yet). With that said, there are some definite caveats to Politics. One is that Aristotle, brilliant though he is, can hardly conceive of anything other than a city-state as a form of government. He treats the concept with characteristic thoroughness, of course, but he's stuck in that idea. Another is that his quick (and depressing) ability to rattle off revolutions shows the tenuousness by which Greek governments were formed; this is a serious issue he is trying to solve (and one that would eventually be solved forcibly for the Greeks by Philip).
...more
",really liked it
20,Briana Saussy,"Aristotle's Politics is an excellent book to read anytime, but its especially appropriate with the upcoming elections. He points out several obivous things that were not quite so obvious to me until I was reminded of them, like the possibility that you are in some part a reflection of the regime under which you live, that man is a political animal, and that speech, choice, and persuasion are in a unique relationship to one another. One of the best aspects of the book is the description of the three major types of regime and then their derivations or corrupted forms. As a teaser I will leave you with this: democracy is a derivation of...
...more
",it was amazing
21,Shad,"This is a pretty good read. He has some very interesting ideas on politics and what legislators should consider - very involved in personal lives (e.g., religious worship, marriage and child rearing). Some of the things he says are extremely offensive by today's standards and some things are downright hilarious (like saying legislators should take precautions against large discrepancies in age and then states the ideal ages for marrying are 18 for a female and 37 for a male). I did like this better than Plato's Republic, and agreed with most of Aristotle's critiques. It's a good foundational read.
...more
",liked it
22,Bob G,"I can understand why this is an important book historically. I was not impressed, though, by the logical approach he used, and there are many cases of ""I will cover that later"" without it ever being covered.I think the translator did a very good job of wrapping around the text very helpful notes. For anyone studying history and early forms of government this is an excellent edition.On a side note, it is very interesting to see that many things have not changed in 2500 years. The class struggles going on, even today, between the very rich and the rest of us seem to have been with us for thousands of years.
...more
",really liked it
23,Sophia,"I'm not quite sure how people review such works. Then again, had I read it for me and not for school, having to analyze it and all I think I'd appreciate it in a different way. Nonetheless, I think I like Aristotle more than Plato. His way of saying this, his thoughts and beliefs, they were quite a read, maybe an eye opener. Of course I didn't agree with everything he said but it was a different time and age then. Anyway, I ever reread it when I'm older, I might be in a better place to grasp my thoughts and transfer them into a ""review"". I'm quoting it, because can anyone really review works like this? Now, let's hope I do good in my exams if they decide on Aristotle and not Plato.
...more
",really liked it
24,George Sim,"A natural continuance of the Ethics, Aristotle describes all kinds of political systems, the character of the state, the character of the citizen. He gives suggestions on how the state should be organized and what is the end of the state. The fact that much of his work has been lost, makes the book incomplete and the work unfinished. So, the reader is not shown any conclusions to Aristotle's contemplation. Politics could be related to Plato's The Republic in some aspects, although Aristotle many times criticizes his mentor and his sayings in similar matters. Overall, an interesting book with many insights on political systems of the ancient world, but with limited conclusive context.
...more
",liked it
25,James Lang,"Well it feels a little strange to give three stars to Aristotle, but I read this directly after reading the Ethics and it just doesn't hold up as well. The Ethics remains for me a fundamental life-guiding text. The Politics, with its opening on slavery and the natural differences among humans and their implications for political life, just doesn't hold up in the same way. So my three stars are for the extent to which this text still offers value to our thinking about how to live a good life. Important and worthwhile insights remain here, especially about the need for balance and proportion in a state, but there is much in here also that has just not stood the test of time.
...more
",liked it
26,Milena M,"Here Aristotle represents some of the fundamental ideas on politics of his times and gives a profound picture of reasoning and principles for life in Greek city-states. He uses quite an easy language which makes this book a quick read for its kind. Some points are really interesting and relevant even nowadays but most seem to be outdated. The author speaks through the ages in many ways giving an opportunity to look behind the curtain of the ancient mindset.This book is definitely a source of knowledge survived through the ages and became a part of modern scholars as cultural and social artifact of the ancient history.
...more
",really liked it
27,Cami,"There is more relevant information in this book than you'd think. Since the book is really just a compilation of Aristotles notes for several lectures, there was a lot of repetition and I had to do some skimming. However, I really enjoyed the discussion about ultimate good, and the different types of government and what the pitfalls will be for each, as well as the discussion on how important family is to the state. I also enjoyed learning how his thoughts are received today. It was an important read. 
...more
",really liked it
28,K,"Contains Aristotle's ideas for what governments work best. He personally would love a benevolent monarchy, but thinks the most workable government form in the real world is a mixture of oligarchic & democratic forms, with as much power as possible held by the middle class. Also, he really believes in slavery (some people's natures are just better suited to being slaves, he says), and harshes on Sparta for giving too much power to women. Because don't they know women need to stay in the house because their brains aren't strong and they're full of irrationality?
...more
",did not like it
29,Jason Jewell,"Many of the modern world's problems are the result of its forgetting the lessons of Aristotle. This treatise discusses the importance of widespread property ownership for ensuring order, and exposes the dangerous lie that any unmixed form of government (democracy as well as monarchy or aristocracy) ever concerns itself with the welfare of everyone in the society. Important insights are present on almost every page on questions such as citizenship, the proper scale of cities, etc. Read slowly and with a highlighter!
...more
",it was amazing
