,0,0,0
10,Kevin Sood,"Aristotle's politics is the most comprehensive, well formulated treaty and critic of political infrastructures ever surmised. Compared to his predecessor, Plato, who took a metaphysical approach in the Republic and who only viewed governmental progression as a liner processes; Aristotle looks at governmental progression from a circular view point and backs his evidence with real life occurrences happening in the Mediterranean world at the time. A good introduction for anyone wanting to learn more about political theory and philosophy. 
...more
",it was amazing
11,Joe Basile,"Any serious student of ancient philosophy will advise that in order to fully understand Aristotle's Politics, it is essential to first read his Nicomachean Ethics. Why? Because Aristotle firmly believed that ethics and politics are closely linked. We seemed to have moved a great distance away from Aristotle's way of thinking about politics (and indeed about ethics as well). For this reason, both of these works merit reading and reflection. 
...more
",it was amazing
12,James Morrison,"The Politics is fundamental to Western political thought, but some of it is a bit ridiculous really (I accept that it was written quite a while ago). The sophistication of the Greek conception of the polis is impressive to us, but we have to remember that it was in many ways fundamentally different to our conception of the state, so comparison must be done very tentatively. It's fun to study though!
...more
",liked it
13,Jared,I loved reading this with the question of what is the ideal society and how do you obtain happiness? It was interesting to see Aristotles answers to these questions. I also enjoyed seeing how he argues his idea that happiness is the absence of pain and that money is in charge of getting rid of pain. Even though I do not agree with it that idea has effected the way that many think of happiness,really liked it
14,D.N.,"The essential work of political philosophy, and the natural extension of Nichomachean Ethics. A study of the Greek city-state, or polis, the most general association in the Greek world. Important for understanding the relation of constitutionalism, private property, capitalism, and the institution of slavery to the modern State.",it was amazing
15,JP,"Aristotle explores the state, using the same building-block approach and straightforward logic he applies to physics and biology The basic units of citizenship are householder, master, statesman, and king.",really liked it
16,Mati,This book was re-read for several times and each time it brought new and stimulating insight in the contemporary politics despite its date of origin. The ideal state was discussed with impact on its citizens. The foundation of the modern democracy is clearly stated in this book. ,it was amazing
17,Daniel,"It is amazing how much wisdom Aristotle gleaned from the light of nature, but also sad how he held down the truth in unrighteousness at various points. He is surprisingly easy to read and this version has the added bonus of a short commentary before every section by the editor. ",really liked it
18,Joana Falcato,"I don't like this translation. The text is already confusing, but Lord's version made it more difficult to read and some english words he used don't reflect the greek original meaning. Even the translation we can find at perseus website is better, though it dates from 1944...
...more
",it was ok
19,Markus,I have to read it again.,really liked it
20,Vilmantas,It was necessary to read for Law School. Have to reread it.,it was amazing
21,Arno Mosikyan,"It's an enigma for me, how come people in Greece achieved this level of wisdom and quality of thinking, while others around in ancient world were after satisfaction of their animal desires.
...more
",really liked it
22,Hunter,"As always, it's irritating that Aristotle takes Plato's dialogues at face value.
...more
",really liked it
23,oswald,"Quite good, although concision is not Aristotle's strong suit. Everything is grouped in threes, more often than not this grouping is arbitrary. Contradictory at times.
...more
",really liked it
24,Óscar Lacarta,Fuck you,did not like it
25,GUILLAUME ATTIA,"That ‘Man is a political animal’ is unquestionably Aristotle’s most popular saying. It is generally taken to mean that what makes us human, or at least separates us from animals, is the observable fact that we engage in political activity. This unique human trait is of course an entailment of our rationality. So understood, Aristotle’s celebrated words may seem unimaginative. It does not appear in hindsight that one needs the brainpower of a genius to appreciate the resonance of this simple observation. However, when one places those famous words in their proper context, as part of Aristotle’s inquiry into the role of community in human life, one soon recognizes not only the profundity of so simple an observation but also the sophisticated intellect needed to make it. Aristotle was indeed a profound thinker and the Politics is a reflection of that. Hence when Aristotle says that “man is a political animal” (p.10), for example, he is not simply stating the obvious fact that human beings engage in politics. His deeper, and more radical, point is that it is only in the polis or city that human beings can truly prosper and flourish. It is in the city that human beings fulfill the potentialities of their nature. How does the city enable humans to achieve their full potential? The community provides the structure through which humans are able to use their God-given reason and language to philosophize with other human beings in order to partner in the creation of a just community. As he explains it, “language serves to declare what is advantageous and what is reverse” (p.11) but also to deliberate about good and evil, justice and injustice, and many other concepts that need to be understood and agreed upon by members of a community in order to establish a good society. The importance of language for political organization, particularly the establishment of a sound constitution, was not taken for granted by the social contract theorists of the 17th century and beyond. The great John Rawls (1921 – 2002), for example, saw it as a foundational precondition of good governance that citizens have a serious discussion among themselves about which theory of justice should permeate their political decisions. Such compacts would not be possible without the capacity for reasoned discourse. Aristotle argues that it is this capacity for rational discussion, and no other, which “is the peculiarity of man, in comparison with other animals” (p.11). It is language therefore, or more precisely rationality, rather than a capacity to be political, that is the distinguishing feature of humanity. Thus contrary to popular belief, Aristotle did not in fact believe that humans were the only political animals. This can plainly be seen in the text when he specifies a few lines after declaring that ‘man is a political animal’ that he is so “in a higher degree than bees or other gregarious animals” (p.10). In his History of Animals, Aristotle observes that ants and bees are ‘political’ in the sense that they work together for a common goal or purpose (487b33 – 488a12). While humans do the same, “man alone of the animals is furnished with the faculty of language” (p.11). That is what makes him unique. That being said, humanity’s rational capacity is not accidental. “Nature”, Aristotle explains, “makes nothing in vain” (p.10): nature, or nature’s god, intended for language to be a gateway for communal living. The city therefore is a natural institution. The city not only exists by nature but is “prior in the order of nature to the family and the individual” (p.11). Not only is the city a natural institution but also by extension, city living itself is a natural state of being for human beings. It thus follows that it is simply unnatural for man, on Aristotle’s view, to live a life outside of the polis. Such a man, “the man who is isolated, who is unable to share in the benefits of political association, or has no need to share because he is already self-sufficient, is no part of the city, and must therefore be either a beast or a god” (p.11). This view of civilized existence as being inextricably bound to the communal life of the city was deeply influential in shaping Western perceptions of certain nomadic native Indian tribes. As Anthony Pagden relates in ""The Fall of Man"" (1982), for Spanish Conquistadors and British colonists of the Americas migratory groups could not ""create cities nor any form of civil association for the simple reason that civil association depends upon temporal continuity, upon the creation of a social space with its appropriate social and religious institutions and the cultural forms which accompany them. If, indeed, the civil life is to be largely defined as a life lived in cities, then it is obvious that people who live in tents, who are pastoralists or even hunter-gatherers rather than agriculturists, will be unable to develop a true community. Nomadism was consequently held to be inimical to every aspect of civilised life” (Pagden, 1982: 195).
...more
",it was amazing
26,Jacob Aitken,"I'll put my cards on the table.  I actively dislike Greek philosophy.  I will be fair and admit that Aristotle is a fairly good communicator, and despite his worldview, he stumbles across the truth every now and then.  And while he never really gets to a coherent statement on justice, he's important to read on that point.  Given that many ""woke"" evangelicals are talking about social justice (but never defining it), Aristotle is at least a starting point.(1) Every community is established with an aim to some good.Aristotle begins with the most basic social unit and moves outward (family, village, city).1.1 If the family is natural, and the movements outward are natural, then the state is a natural unity.The Art of Getting WealthLegitimate economics: managing a household“Retail trade is not a natural part of the art of getting wealth” (1.9.17).  This is important and will doom his entire project.Usury: makes a gain out of money itself.  The proper use of money is exchange, not to grow money from money.I used to hold to that argument. I'm not so sure anymore. It only works if we view value as something objective.  But value is anything but objective.  The whole point of an exchange is that we don't place equal value on the object.What is a state? Who is the citizen?  He notes that a citizen under one government might not be one under another. For the sake of argument he will assume democracy.  A citizen is the holder of a definite office, who legislates and judges, etc. (Book 3 ch. 1). A citizen shares in rulership. This is actually a pretty good definition, though it works better on smaller levels.The chief end of a state is the well-being of the citizensJustice: implies a relation to persons as well as things; a just distribution (Book 3; chapter 9).  He realizes this discussion is inadequate 9 pages later: “equality or inequality of what?” He hints that what is “just” or equal will be to the advantage of the common good.Book 4His famous discussion of monarchy, oligarchy, and democracy.  And their perversions. He defines democracy as the form of govt where the free are rulers (IV.4).  He comes to a surprising and welcome conclusion: the best society is the one with a large middle class.  This comes very close to a biblical worldview. It is not a biblical worldview, however, for Aristotle despises things like retail trade.  But a society with a large middle class is one that understands the value of time, risk, and planning. In other words, it presupposes the doctrine of providence.  Aristotle, however, doesn’t really get this, nor could he.This is why we should not go to Aristotle for economic wisdom.  For the godly man, time is not evil.  It is limited and under the curse, but it also provides the conditions for planning for the future and building wealth.Book VIIThis book begins on a chilling note: what are the most eligible forms of life?  This sounds a lot like the death camps we would have seen under the worst acts of the Affordable Care Act.  This is also good Greek philosophy.Before we examine why Aristotle thought it was good to kill some of the babies, we need to see why he said it.  He didn’t believe an overly-populated city was a good thing. That’s a half-truth. Many large cities today aren’t very nice places.  He probably couldn’t see past the city-state idea. You can have many people in a country if you have lots of smaller cities. That’s one example.With this background, his following comments, while evil, cohere with his system.  This is his argument:(1) To the size of states there is a limit (1326a 35).(2) The legislator must mold to his will the frames of newly-born children (1335a 5)(3) As to the exposure and rearing of children, let there be a law that no deformed child shall live, but that on the ground of an excess in the number of children, if the established customs of this state forbid this (for in our state population has a limit), no child is to be exposed, but when couples have children in excess, let abortion be procured before sense and life have begun (1335b 20-25).Is it really necessary to refute this?  Where to start? I’ll leave with an observation: given Aristotle’s anti-market views, his state population would always be extremely limited. That made abortion a pressing reality.  Therefore, his bad economics upheld his pro-choice mentality.          
...more
",it was ok
27,Fraser Kinnear,"Two pages into this book, Aristotle drops this turd:But is there any one thus intended by nature to be a slave, and for whom such a condition is expedient and right, or rather is not all slavery a violation of nature? There is no difficulty in answering this question, on grounds both of reason and of fact. For that some should rule and others be ruled is a thing not only necessary, but expedient; from the hour of their birth, some are marked out for subjection, others for ruleYikes. I remember MacIntyre grimacing over Aristotle’s position on slavery in his book “After Virtue”, which is trying to take the best of Aristotle’s ethical philosophy (orient your morals around the teleology of the subject) while brushing aside some of Aristotle’s worst conclusions (e.g., slavery).But can you? Aristotle’s opening salvo in his Politics evidence that the two are hopelessly intertwined: teleology just shifts the argument from deciding on what is moral to deciding on what something’s purpose is. And if you get the purpose of something wrong (e.g, the natural function of some people is to be slaves), then you end up with a bad value (slavery is OK).I laughed when Aristotle went from suggesting his own crazy ideas (slavery is natural, women are not equal to men, finance is evil) to pointing out how nuts Plato’s own ideas were in his “Republic” (they were!). Further, Aristotle’s reputation for thorough categorization frequently comes across as pedantic (e.g.,. “The members of a state must either have all things or nothing in common, or somethings in common and some not”). Perhaps my problem with the book was that half of the points he was making were so universally agreed upon today as to be benign, so all that’s left is to notice the howlers. I suppose this is just a reflection of his enormous influence – that his ideas are now so commonly held as to be rendered uninteresting.This book was actually much more interesting as a historical document. For example, Aristotle has some interesting proto ideas that lead towards today’s understanding of the Rule of Law: “… laws, when good, should be supreme; and that the magistrate or magistrates should regulate those maters only on which the laws are unable to speak with precision owing to the difficulty of any general principle embracing all particulars.” And elsewhere “… those who have any complaint to bring against the magistrates say, ‘let the people be judges’; the people are happy to accept the invitation; and so the authority of every office is undermined. Such a democracy is fairly open to the objection that it is not a constitution at all; for where the laws have no authority, there is no constitution. The law ought to be supreme over all, and the magistracies should judge the particulars, and only this should be considered a constitution. Embedded in the latter quote is a value judgment about democracy that needs some unpacking. Aristotle defines democracy as the negative manifestation of governments ruling in the interest of the needy majority, sometimes controlled by a demagogue, while constitutional governments are the same but with more balance towards a common good. Characterizing these various forms of government (kingship/tyranny, aristocracy/oligarchy, constitutional government / democracy) takes up the majority of the book.Another example is finding passages that I suspect were also read and underlined by America’s founding fathers, such as:…democracy and demos in their truest form are based upon the recognized principle of democratic justice, that all should count equally; for equality implies that the poor should have no more share in the government than the rich, and should not only be rulers, but that all should rule equally according to their numbers.This was an idea hotly debated, for example, during the Three-Fifths Compromise.One final example, I’m reading Hobbes’s “Leviathan” in parallel, and was excited to come across a passage that he referenced directly:The fact is, that the greatest crimes are caused by excess and not by necessity. Men do not become tyrants in order that they may not suffer cold; and hence great is the honor bestowed, not on him who kills a thief, but on him who kills a tyrant.  
...more
",it was ok
